disease,name,description,title,tag_name,link
巴金森病（帕金森氏症）,父親因為心臟不舒服一直掛急診，流連各科檢查才發現是巴金森病。請問巴金森病為什麼跟心臟不舒服有關？還有哪些症狀可能和巴金森病有關？,"[專家解答] 陸教授神經科診所院長 陸清松巴金森病可能以「心臟不適」表現。更常見的描述是胸悶不舒服。巴金森病是1種神經退化的疾病，腦部黑質神經細胞退化，多巴胺神經傳導物質不足，不只會影響肢體動作，讓巴友出現動作緩慢、肢體僵硬等症狀，其它多類的神經傳導物質也可能受到影響。另外，心臟的跳動及血壓是透過「自律神經」控制，當自律神經受到影響，也會讓巴友出現胸悶不適的症狀。如何檢測自律神經出現障礙，民眾如果平躺起身或是站立時，出現姿勢性低血壓，即可能是自律神經出現障礙，也有很大機率是巴金森病的潛在巴友。不過，心臟不適首先排除最大的原因仍然與心臟疾病有關，如冠心症、心肌梗塞、心律不整；有些則是壓力引起心臟不適，如胸悶、心跳過快、情緒引起血壓不穩等。巴金森病引起的自律神經障礙，不只會出現在心臟，也可能會表現在其它方面，例如姿勢性低血壓、手腳冰冷、便祕等等，而且以上症狀，可能發生在動作障礙出現之前。臨床上最快的鑑別診斷方式，就是讓疑似罹患巴金森病的民眾，使用多巴胺藥物（如：左旋多巴、多巴胺受體促效劑），服用後，如果症狀明顯改善，幾乎可以認定是巴金森病引起。",確診困難,疾病診斷,https://health.udn.com/health/care/135/293198
巴金森病（帕金森氏症）,最近手部會顫抖，和媽媽的症狀很像，我懷疑我也有巴金森病！巴金森病是遺傳性疾病嗎？,"[專家解答] 中國醫藥大學附設醫院神經部巴金森暨動作障礙科主治醫師 敖瑀			巴金森病常見的發病年紀為55至60歲間，屬老年型巴金森病，約有10%老年型巴金森病友，與家族史有關；50歲以下發病的巴友，屬年輕型巴金森病，多數與遺傳因子有關。			常見造成巴金森病的遺傳基因有4種，SNCA和LRRK2基因是常見的顯性遺傳及巴金森病基因，而PRKN和PINK1基因則是造成隱性遺傳巴金森病之常見突變。目前在各醫學中心，都有自費的基因檢測可做，但是否需檢驗，建議接受神經科醫師評估諮詢，確實了解每個檢測的準確度及其結果代表的意義再進行。			年輕型巴金森病友的臨床症狀常與老年型不同，往往不是單側靜止型顫抖等典型表現，除了顫抖、動作緩慢、僵硬等症狀之外，也常出現局部或全身性肌張力不全（肌肉不自主收縮，導致持續或間斷性不正常姿勢或抖動）症狀，這些非典型的障礙常導致診斷困難。			造成手抖的情況非常多，例如生理性顫抖，一般人緊張時、低血糖時，都可能會出現手抖症狀，不一定是神經退化性疾病。除了巴金森病外，原發性顫抖、甲狀腺亢進或是肌躍症等等，也是顫抖的重要鑑別診斷。			要診斷巴金森病，醫師需要先排除上述疾病。通常抽血檢查可排除甲狀腺疾患、肝腎功能或是血糖的異常；接下來需安排腦部影像檢查，排除構造上的異常，如腦梗塞、腦出血、腫瘤或水腦症等，若影像檢查無異常，通常可透過多巴胺轉運體掃描（Trodat）確認腦中多巴胺神經元退化程度，最後才能確定罹患巴金森病。			整體而言，大部分巴金森病友都不是基因突變導致，而是後天不明原因引起的神經性退化。但若家族中多人罹患巴金森病，發病年齡小於50歲，而自己也在50歲甚至40歲前出現手抖症狀，的確可以提早至神經內科門診評估診療。",遺傳,疾病診斷,https://health.udn.com/health/care/135/293199
巴金森病（帕金森氏症）,"看到網路上有人說,頭痛吃太多止痛藥會導致巴金森病,這是真的嗎？藥物引發的巴金森病會好嗎？","[專家解答] 林口長庚紀念醫院神經內科部主治醫師 陳柔賢			使用止痛藥不會導致巴金森病。巴金森病的發生與藥物之間沒有直接關係，巴金森病是腦中黑質退化，導致動作緩慢、僵硬、顫抖等症狀。有些藥物確實會短暫引起類似巴金森病的症狀，需由醫師診斷以及鑑別排除。			巴金森病除了有典型巴金森病以外，還有其它3大類型，非典型巴金森病、次發性巴金森病、遺傳型巴金森病。			其中次發性巴金森病的類別，包含服用某些藥物：例如抗思覺失調藥物引起的巴金森病症狀。這一類的藥物，主要是作用機轉在人體的中樞神經系統，會影響腦部的多巴胺作用機制，因此會出現類似巴金森病的症狀，但藥物作用過去之後症狀也會改善。			止暈藥物的種類很多，作用機轉也不盡相同，其中，如果作用機轉強調的是中樞神經系統的鈣離子阻斷，便有可能會造成巴金森病的症狀，但這類別的止暈藥或是抗思覺失調的藥物，都不是民眾可在藥局購買到的指示用藥，而是醫師開立的處方用藥，民眾無需過度緊張。請記住1個觀念：藥物的服用仍需經過專科醫師的評估建議。",藥物引發巴金森病症狀,疾病診斷,https://health.udn.com/health/care/135/293200
巴金森病（帕金森氏症）,爸因為關節卡卡跟肩膀痠痛掛號神經科，醫師叫他做雙手拇指食指開合的手指檢測，認為爸爸罹患巴金森病。請問什麼是手指檢測，為什麼手指檢測可以檢測巴金森病呢？,"[專家解答] 高雄長庚紀念醫院神經內科主治醫師 林祖功			巴金森病通常發生在50至60歲以上的族群，典型症狀是以動作遲緩為特色，但這個族群也容易有退化性疾病，如關節退化、五十肩等，或是有在服用慢性疾病藥物，部分慢性疾病藥物也可能會讓身體表現出現動作遲緩、顫抖、關節僵硬等類似巴金森病的症狀。			因此，手指檢測是幫助醫師篩檢巴金森病的1種工具， 主要為拇指與食指重複張開閉合，重點在開合動作要大，速度要快，可2手輪流測試。			如果手指開合速度變慢以及開合角度變小，醫師可以從此判斷是否是巴金森病引起的動作遲緩，還是年紀增長而導致的關節退化、肌肉量不足。除了手指檢測以外，醫師會請疑似罹患巴金森病的巴友做其它的動作，幫助醫師鑑別診斷。例如，從椅子上起身、觀察步行姿勢。如果動作不流暢，呈現緩慢且僵硬的動作，也會列入判別是否罹患巴金森病的依據。			手指檢測也常被稱為「手指操」，許多巴友會誤以為手指操是幫忙延緩巴金森病的運動之一。其實手指檢測只是協助診斷的方法之一，巴友不會因為長時間做手指檢測，就改善動作卡卡的症狀。",手指檢測,疾病診斷,https://health.udn.com/health/care/135/293201
巴金森病（帕金森氏症）,奶奶平衡感變差，手也常不自覺顫抖，這是自然老化嗎？有什麼量表或方法可以評估奶奶有沒有巴金森病呢？,"[專家解答] 高雄長庚紀念醫院神經內科主治醫師 林祖功			判定是否罹患巴金森病，仍建議找神經內科醫師鑑別診斷。網路上的巴金森病量表，基本上都須由專業人士判斷，沒有經過訓練，沒辦法單純透過量表上的文字，就能判別自己的症狀是否符合量表標準，未受過訓練而自行判斷，反而會造成更多誤解。			多數人會認為「顫抖」是巴金森病的指標症狀，事實上，約有2至3成的巴金森病友沒有明顯顫抖症狀，巴金森病症狀以動作遲緩為主，其餘才是顫抖、僵硬。因此，手部顫抖就等於罹患巴金森病是錯誤迷思。			手部出現顫抖，除了巴金森病，還有可能是原發性顫抖，甲狀腺亢進等疾病引起。顫抖也可能是非疾病生理反應性顫抖，例如低溫或是情緒過度亢奮；有些藥物刺激也可能引起顫抖，例如喝咖啡引起的心悸，或是服用感冒藥、支氣管擴張劑等。			巴金森病需排除多種腦部及身體代謝性疾病，才能正確診斷，因此鑑別診斷就非常重要。通常巴金森病友從動作遲緩發展到平衡不佳，甚至容易跌倒，多是發病多年之後，才會漸漸出現的症狀，不太會是在疾病早期就出現，因此需要排除其它可能的神經科疾病。此時，神經科醫師會透過腦部影像，如磁振造影或電腦斷層排除腦部結構性的病兆，並經由抽血排除其它代謝性的問題。			其中也有少數的機率是非典型巴金森病、小腦萎縮或是其它老化症狀，因此醫師必須經由檢查、藥物治療及長期觀察，才會做最後的診斷。建議家屬或是疑似患者本身盡速至神經內科就醫。有時需耐心觀察，再經由檢查與藥物測試一段時間之後，醫師才能判定是否罹巴金森病。",自我檢測表,疾病診斷,https://health.udn.com/health/care/135/293202
巴金森病（帕金森氏症）,阿公最近生活能力退化明顯，不只行動變遲緩，也愈來愈不喜歡和人互動，以為是失智症，醫師卻說他是巴金森病。請問這2種病有什麼不一樣呢？,"[專家解答] 林口長庚紀念醫院神經內科部主治醫師 陳柔賢			典型的失智症和典型的巴金森病都是進行性的神經退化疾病。而導致腦神經細胞退化的原因，一般而言，是神經細胞內的蛋白質變性後累積在細胞內，引起腦神經細胞凋亡。			失智症中以阿茲海默症為最大宗，阿茲海默症是1種濤蛋白（Tau Protein）沉積在腦神經細胞內，使該神經細胞凋亡；巴金森病則是突觸蛋白沉積，使其細胞凋亡。阿茲海默症與巴金森病雖都是神經退化疾病，同樣會造成腦神經細胞壞死，但屬於不同的沉積蛋白質造成的。			阿茲海默症的患者，初期症狀經常是認知功能逐漸減退，慢慢地對於自我和周遭環境的感知判斷異常，然後動作開始變慢，可以想像為是1種「先智力衰退再行動緩慢」的疾病；巴金森病是先從動作變慢開始，後續有非常高的機率合併失智症，可以想像為是1種「先行動緩慢再智力衰退」的疾病。2者在疾病的演進過程上雖有不同，但臨床上最終到達的症狀與預後是類似的。			家屬面對長者出現記憶喪失或是動作變慢等，建議不要自行判定，應帶家人到醫院由醫師做專業鑑別診斷，因動作遲緩或是不喜歡與人互動，還有可能是其它疾病，如腦中風或憂鬱症等，得逐一排除，才能確認是否是巴金森病或是失智症。",失智症比較,疾病診斷,https://health.udn.com/health/care/135/293203
巴金森病（帕金森氏症）,什麼是非典型巴金森病？和巴金森病有什麼不同？是否也有凍僵步態的情況呢？非典型病程進展速度很快嗎？,"[專家解答] 國立臺灣大學醫學院附設醫院新竹臺大分院神經部副主任 陳凱翔			典型巴金森病與非典型巴金森病症狀類似，都有動作遲緩、口齒不清、肢體僵硬、容易跌倒等症狀，也因此非典型巴金森病友在症狀初期時，容易被誤診為原發性巴金森病。除了一些特定的臨床症狀，2者最大的差異是非典型巴金森病友對左旋多巴藥物反應不佳，且病程進展相對快速，相對於典型巴金森病10至15年病程，非典型巴金森病友約莫5至8年左右就進入需輔具、輪椅或臥床的狀況。2者病理差異如下：			典型巴金森病			大腦的中腦黑質區域因alpha-突觸核蛋白(&alpha;-synuclein)沉積形成路易氏體而造成多巴胺細胞退化，使傳遞多巴胺的神經傳導物質缺乏。			非典型巴金森病			非典型巴金森病神經退化的病理特徵不同，可能為廣泛性神經膠細胞路易氏體沉積，或者是濤蛋白沉積。			但巴友也必須了解，巴金森病愈晚發病，代表巴友年紀較大，相較於年輕型巴友病程變化的速度也會加快。			凍僵步態是指走路起步時困難，患者難以踏出第一步，腳像黏在地板上抬不起來。凍僵步態在非典型巴金森病中的「進行性上眼神經核麻痺症」（Progressive Supranuclear Palsy, PSP）患者較為常見。PSP患者的典型症狀是初期病人會有行走失衡（尤其向後傾倒）和眼球運動受限，其它合併症狀則與典型巴金森病類似。			另1種非典型巴金森病為多系統退化症（Multiple System Atrophy, MSA），可能合併出現小腦萎縮協調困難，或者是自主神經退化導致尿失禁、嚴重姿勢性低血壓。			針對非典型巴金森病，醫學界目前沒有最新的治療方式，仍以使用藥物改善症狀為主，建議患者持續使用藥物，以避免因停藥而讓症狀加重。",非典型巴金森病,疾病診斷,https://health.udn.com/health/care/135/293204
巴金森病（帕金森氏症）,"因為左手臂一直顫抖，剛被診斷出罹患巴金森病。目前吃藥吃2 個禮拜了但手還是會抖，請問這是正常的嗎？減緩顫抖的藥需要吃多久才會見效？","[專家解答] 國立臺灣大學醫學院附設醫院新竹臺大分院神經部副主任 陳凱翔			剛被診斷巴金森病的巴友，藥物劑量一定會從低劑量開始使用，避免副作用影響巴友生活。巴友剛服用2 周的藥物，藥物使用濃度可能尚未達到所需理想濃度，回診時，可告訴醫師持續有手抖症狀。初診斷巴金森病的巴友，約需回診1 至2 次後，用藥才能符合需求。			減緩顫抖的藥物有非常多種類，如左旋多巴、多巴胺受體促效劑、氧化酶抑制劑、抗膽鹼藥物等類型藥物。醫師多會搭配使用改善手抖症狀。通常使用1 個月內可以看得到效果。			不過，每位巴友顫抖的位置都不一樣，多數巴友是肢體末梢部位，如手指顫抖，其餘還有嘴唇顫抖等，這類顫抖幅度小的部位，使用減緩顫抖的藥物效果會相對顯著。			巴友如果是手臂顫抖，通常顫抖幅度較大，相對於顫抖幅度小的患者來說，藥物效果恐較不明顯，也可能讓巴友認為手抖症狀沒有改善。總體而言，不管顫抖部位、顫抖幅度，都有10% 至15％的巴友，對減緩顫抖的藥物反應不是這麼好，需嘗試多種藥物類型，找到最適合的處方。",藥效見效時間,動作障礙,https://health.udn.com/health/care/136/293205
巴金森病（帕金森氏症）,想改善身體僵硬的問題，我可以用遠紅外線泡腳機嗎？還是有其它的舒緩方法？,"[專家解答] 彰化基督教醫院神經醫學部協同主任 巫錫霖			使用遠紅外線泡腳機，沒有科學證實可改善巴金森病友肢體僵硬症狀。不過，巴友若透過使用遠紅外線泡腳機，感受到肢體較為舒緩，或泡溫泉後認為較舒服，不需禁止巴友。但要提醒，巴友如果正處於身體平衡異常階段，外出時要特別留意避免跌倒，巴友若年紀大，跌倒後導致臥床或是失能的機率高。			目前有科學證實可以改善肢體僵硬的方式，是遵照醫囑服用藥物，同時要規律運動。過去曾研究有打太極拳的巴金森病友，肢體僵硬的表現，少於沒有打太極拳的巴友。			打太極拳是目前證據最顯著可以改善肢體僵硬的運動。不只限於太極拳，任何運動都有助改善肢體僵硬，光走路就有幫助，建議巴友可達到每天至少30 分鐘的運動頻率，強度因人而異，選擇最適合的運動，可長期規律維持最好。",改善身體僵硬,動作障礙,https://health.udn.com/health/care/136/293206
巴金森病（帕金森氏症）,我罹病2年，目前有單邊腳抖的症狀，想加強運動復健，請問我應該找健身教練訓練，還是上醫院的物理治療課程呢？有適合在家完成的運動嗎？,"[專家解答] 國立臺灣大學醫學院附設醫院新竹臺大分院神經部副主任 陳凱翔			巴金森病友的顫抖症狀僅能透過藥物改善，無法透過物理治療、重訓健身等方式緩解。儘管如此，巴友仍可維持運動習慣，改善肢體動作僵硬的問題。			巴金森病友如果想要加強運動復健，建議以物理治療為主。一般的健身教練多以「重訓」當成訓練主軸，巴友除了有顫抖症狀，同時也會有肢體僵硬的情形，光是要維持正確的重訓姿勢，就具有一定的難度。			無論是國內外都有針對巴友的運動項目，各家醫院多會拍攝簡易的居家運動影片，提供給巴友使用。運動的項目大致可以分為2 類，肌肉伸展、核心肌群訓練。伸展運動可以避免肢體僵硬，核心肌群可提高身體的穩定度，改善姿勢歪斜與增加平衡。			另外，也有針對不同症狀提出的運動課程。醫院多會交由復健科醫師以及物理治療師協助巴友，先教導巴友後，讓巴友居家練習。",運動建議,動作障礙,https://health.udn.com/health/care/136/293207
