0,1,2
提高警覺與防護 心血管疾病不用心驚驚！,https://health99.hpa.gov.tw/news/8640,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
老菸槍呼吸困難 恐患慢性肺阻塞(聯合新聞網),https://health99.hpa.gov.tw/news/11963,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
癮君子骨鬆危險高！馬偕戒菸週開跑(台灣醒報),https://health99.hpa.gov.tw/news/11200,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
慢性病風險「腰」注意 青壯族群五成超過半年沒量腰圍！,https://health99.hpa.gov.tw/news/8536,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
紐西蘭先驅報：研究顯示吸菸傷腦,https://health99.hpa.gov.tw/news/11393,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
新法上路擴大禁菸場所吸菸  違規吸菸最高處1萬元罰鍰,https://health99.hpa.gov.tw/news/19293,https://health99.hpa.gov.tw/storage/images/articles/366932479_677213187778468_2155343208768803570_n.jpg
「圓前世情人夢，丟今日手邊菸」「及早戒菸 幸福無憾─新娘篇」30秒短片首映記者會,https://health99.hpa.gov.tw/news/10635,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
脂肪肝知多少,https://health99.hpa.gov.tw/article/19058,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
解惑人工生殖技術常見3件事 盡早規劃適齡生育,https://health99.hpa.gov.tw/news/19510,https://health99.hpa.gov.tw/storage/images/articles/434348434_808161844683601_450018894096594155_n.jpg
菸品有害物質 透過血液傷害健康(中華日報),https://health99.hpa.gov.tw/news/16719,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
6秒就有1人因菸害死亡 平均壽命減少15年(聯合即時),https://health99.hpa.gov.tw/news/16774,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
孕婦吸菸易胎死腹中( 蘋果日報 ),https://health99.hpa.gov.tw/news/13593,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
菸不離手 如入虎口( 聯合報 ),https://health99.hpa.gov.tw/news/10959,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
杜絕飄散的二手菸  從吸菸者戒菸開始 敦親睦鄰  創造多贏,https://health99.hpa.gov.tw/news/19002,https://health99.hpa.gov.tw/storage/images/articles/289023476_400476005452189_7796873676766189755_n.jpg
外送員天天曝日頭 小心中暑 謹記「3要訣」遠離熱傷害,https://health99.hpa.gov.tw/news/18598,https://health99.hpa.gov.tw/storage/images/articles/20210702NEWSIMG.jpg
早產醫學的未來,https://health99.hpa.gov.tw/article/91,https://health99.hpa.gov.tw/storage/images/articles/2005844_l.jpg
拒菸！別讓菸，「菸」沒您的美,https://health99.hpa.gov.tw/news/19498,https://health99.hpa.gov.tw/storage/images/articles/431688458_797509882415464_3724014451690521898_n.jpg
克服抽菸戒斷症　應尋求專業協助( 優活健康網 ),https://health99.hpa.gov.tw/news/10444,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
擴大補助產檢服務 7月1日正式上路,https://health99.hpa.gov.tw/news/18594,https://health99.hpa.gov.tw/storage/images/articles/擴大產檢v5(加廣告).jpg
危險情人要錢要命 衛福部教你揮別舊愛 (蘋果即時),https://health99.hpa.gov.tw/news/16034,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
想當凍齡美女 屏基籲戒菸(真晨報),https://health99.hpa.gov.tw/news/16283,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
春節期間巧心思，三高安心諸事順心,https://health99.hpa.gov.tw/news/8483,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
戒菸不卡關 專線當您的靠山( 大成報 ),https://health99.hpa.gov.tw/news/13924,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
癮君子注意！用對這些方法跟菸癮說掰！(自由即時),https://health99.hpa.gov.tw/news/16726,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
5大危險因子 高血壓最傷血管 (聯合報),https://health99.hpa.gov.tw/news/16219,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
幼兒5歲（第40週）大人小孩，親子旅行GO!,https://health99.hpa.gov.tw/article/18691,https://health99.hpa.gov.tw/storage/images/articles/5y40.jpg
「健康5招」搭配「我的餐盤」 讓你龍年健康營養好運到,https://health99.hpa.gov.tw/news/19480,https://health99.hpa.gov.tw/storage/images/articles/426153764_779873554179097_8227403345390055730_n.jpg
加味菸危害「青少年」及「女性族群」健康 拒絕菸品上癮　向加味菸say NO！,https://health99.hpa.gov.tw/news/19340,https://health99.hpa.gov.tw/storage/images/articles/393272271_714771260689327_5914250500695346245_n.jpg
鬼門關前走一遭 原本菸不離手的新聞記者從此戒菸(今日新聞),https://health99.hpa.gov.tw/news/16751,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
平均抽1根菸 少7分鐘壽命(自由電子報),https://health99.hpa.gov.tw/news/12132,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
長期吸菸 易患慢性阻塞性肺病( 台灣醒報 ),https://health99.hpa.gov.tw/news/13824,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
戒菸吧！做個真英雄 ( 蕃薯藤新聞網 ),https://health99.hpa.gov.tw/news/15045,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
「尿」事如神，遠離三高，掌握致「腎」關鍵!,https://health99.hpa.gov.tw/news/18922,https://health99.hpa.gov.tw/storage/images/articles/275384840_5523280964367297_3917300804537815178_n.jpg
遠離腎臟病，控制三高是關鍵 !,https://health99.hpa.gov.tw/news/19312,https://health99.hpa.gov.tw/storage/images/articles/376751018_692385772927876_855909862761571109_n.jpg
不戒菸 他一年竟二度急性心肌梗塞(聯合新聞網),https://health99.hpa.gov.tw/news/15799,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
健康檢查報告+風險評估3步驟 5種慢性疾病風險  輕鬆掌握,https://health99.hpa.gov.tw/news/19055,https://health99.hpa.gov.tw/storage/images/articles/301136931_444944414338681_3271776273987855208_n.jpg
逗陣駛入「戒菸就贏比賽」四大車隊聯手  2020戒菸一定行！,https://health99.hpa.gov.tw/news/8639,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
冷氣團發威 國民健康署提醒：心血管高風險族群及長者 添衣保暖 溫水禦寒,https://health99.hpa.gov.tw/news/8326,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
控制孕期體重　把握5守則,https://health99.hpa.gov.tw/news/8628,https://health99.hpa.gov.tw/storage/images/content/20200309NEWSIMG.jpg
高齡孕婦比例增 母嬰健康風險升 掌握適齡生育期 好孕6招祝福您,https://health99.hpa.gov.tw/news/19063,https://health99.hpa.gov.tw/storage/images/articles/304978919_453994843433638_6563739278696293537_n.jpg
