2025-10-21 16:55:41,130 - INFO - 開始資料更新流程...
2025-10-21 16:55:41,130 - INFO - 正在從 Google Sheets 獲取資料...
2025-10-21 16:55:41,913 - INFO - 成功獲取 194 筆資料
2025-10-21 16:55:41,914 - INFO - 正在轉換資料格式...
2025-10-21 16:55:41,914 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '1', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å¤\x9aé\x87\x8dæ\x85¢æ\x80§ç\x97\x85ç\x9b\x9bè¡\x8cï¼\x8cæ\x95´å\x90\x88æ\x8c\x91æ\x88°', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2Fd6d776a99afbc2655dcb9c5a.jpg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': 'æ\x85¢æ\x80§ç\x97\x85ã\x80\x81ä¸\x89é«\x98ã\x80\x81ç³\x96å°¿ç\x97\x85ã\x80\x81é«\x98è¡\x80å£\x93ã\x80\x81å¿\x83è¡\x80ç®¡ç\x96¾ç\x97\x85ã\x80\x81å\x85¨æ°\x91å\x81¥åº·ä¿\x9dé\x9aªã\x80\x81è\x80\x81äººæ\x86\x82é¬±ç\x97\x87', 'ä½¿ç\x94¨é\x99\x90å\x88¶': 'å\x8f¯ç\x9b´æ\x8e¥ä½¿ç\x94¨'}
2025-10-21 16:55:41,914 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '2', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å¤\x9aé\x87\x8dæ\x85¢æ\x80§ç\x97\x85ç\x9b\x9bè¡\x8cï¼\x8cæ\x95´å\x90\x88æ\x8c\x91æ\x88°', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2F82cf20b81141225c97feb7ba.jpg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': 'æ\x85¢æ\x80§ç\x97\x85ã\x80\x81ä¸\x89é«\x98ã\x80\x81ç³\x96å°¿ç\x97\x85ã\x80\x81é«\x98è¡\x80å£\x93ã\x80\x81å¿\x83è¡\x80ç®¡ç\x96¾ç\x97\x85ã\x80\x81å\x85¨æ°\x91å\x81¥åº·ä¿\x9dé\x9aªã\x80\x81æ\x95´å\x90\x88ç\x85§è\xad·ã\x80\x81æ\x85¢æ\x80§å\x85±ç\x97', 'ä½¿ç\x94¨é\x99\x90å\x88¶': 'å\x8f¯ç\x9b´æ\x8e¥ä½¿ç\x94¨'}
2025-10-21 16:55:41,914 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '3', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å¤\x9aé\x87\x8dæ\x85¢æ\x80§ç\x97\x85ç\x9b\x9bè¡\x8cï¼\x8cæ\x95´å\x90\x88æ\x8c\x91æ\x88°', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2Ff54e0d063ed36b76054fa06d.jpg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': 'æ\x85¢æ\x80§ç\x97\x85ã\x80\x81ä¸\x89é«\x98ã\x80\x81ç³\x96å°¿ç\x97\x85ã\x80\x81é«\x98è¡\x80å£\x93ã\x80\x81å¿\x83è¡\x80ç®¡ç\x96¾ç\x97\x85ã\x80\x81æ\x85¢æ\x80§å\x85±ç\x97\x85ã\x80\x81å\x85¨æ°\x91å\x81¥åº·ä¿\x9dé\x9aªã\x80\x81', 'ä½¿ç\x94¨é\x99\x90å\x88¶': 'å\x8f¯ç\x9b´æ\x8e¥ä½¿ç\x94¨'}
2025-10-21 16:55:41,914 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '4', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å¤\x9aé\x87\x8dæ\x85¢æ\x80§ç\x97\x85ç\x9b\x9bè¡\x8cï¼\x8cæ\x95´å\x90\x88æ\x8c\x91æ\x88°', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2F35ae32928d22fb8c8bc53eb3.jpg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': 'æ\x85¢æ\x80§ç\x97\x85ã\x80\x81å\x85¨æ°\x91å\x81¥åº·ä¿\x9dé\x9aªã\x80\x81å\x81¥ä¿\x9då¿«æ\x98\x93é\x80\x9aã\x80\x81å\x81¥åº·å\xad\x98æ\x91ºã\x80\x81æ\x99ºæ\x85§é\x86«ç\x99\x82', 'ä½¿ç\x94¨é\x99\x90å\x88¶': 'å\x8f¯ç\x9b´æ\x8e¥ä½¿ç\x94¨'}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '5', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å¤\x9aé\x87\x8dæ\x85¢æ\x80§ç\x97\x85ç\x9b\x9bè¡\x8cï¼\x8cæ\x95´å\x90\x88æ\x8c\x91æ\x88°', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2F6595df76d989b1bbe30f09e1.jpg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': 'å\x85¨æ°\x91å\x81¥åº·ä¿\x9dé\x9aªã\x80\x81æ\x95´å\x90\x88ç\x85§è\xad·ã\x80\x81æ\x85¢æ\x80§å\x85±ç\x97\x85ã\x80\x81é\x95·æ\x9c\x9fç\x85§é¡§ã\x80\x81é\x95·ç\x85§æ\x9c\x8då\x8b\x99ã\x80\x81å¤\x96ç±\x8dç\x9c\x8bè\xad·å·¥', 'ä½¿ç\x94¨é\x99\x90å\x88¶': 'å\x8f¯ç\x9b´æ\x8e¥ä½¿ç\x94¨'}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '6', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å¤\x9aé\x87\x8dæ\x85¢æ\x80§ç\x97\x85ç\x9b\x9bè¡\x8cï¼\x8cæ\x95´å\x90\x88æ\x8c\x91æ\x88°', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2F7b5c24ac690831ddc9002a7b.jpeg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': 'æ\x85¢æ\x80§ç\x97\x85ã\x80\x81ä¸\x89é«\x98ã\x80\x81ç³\x96å°¿ç\x97\x85ã\x80\x81é«\x98è¡\x80å£\x93ã\x80\x81å¿\x83è¡\x80ç®¡ç\x96¾ç\x97\x85ã\x80\x81å\x85¨æ°\x91å\x81¥åº·ä¿\x9dé\x9aªã\x80\x81æ\x95´å\x90\x88ç\x85§è\xad·ã\x80\x81æ\x85¢æ\x80§å\x85±ç\x97', 'ä½¿ç\x94¨é\x99\x90å\x88¶': 'å\x8f¯ç\x9b´æ\x8e¥ä½¿ç\x94¨'}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '7', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å¤\x9aé\x87\x8dæ\x85¢æ\x80§ç\x97\x85ç\x9b\x9bè¡\x8cï¼\x8cæ\x95´å\x90\x88æ\x8c\x91æ\x88°', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2Fde41370fc89b7907c4d17ea1.jpg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': 'æ\x85¢æ\x80§ç\x97\x85ã\x80\x81ä¸\x89é«\x98ã\x80\x81ç³\x96å°¿ç\x97\x85ã\x80\x81é«\x98è¡\x80å£\x93ã\x80\x81å¿\x83è¡\x80ç®¡ç\x96¾ç\x97\x85ã\x80\x81å\x85¨æ°\x91å\x81¥åº·ä¿\x9dé\x9aªã\x80\x81æ\x95´å\x90\x88ç\x85§è\xad·ã\x80\x81æ\x85¢æ\x80§å\x85±ç\x97', 'ä½¿ç\x94¨é\x99\x90å\x88¶': 'å\x8f¯ç\x9b´æ\x8e¥ä½¿ç\x94¨'}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '8', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å¤\x9aé\x87\x8dæ\x85¢æ\x80§ç\x97\x85ç\x9b\x9bè¡\x8cï¼\x8cæ\x95´å\x90\x88æ\x8c\x91æ\x88°', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2Fb0798a2ba573990a9fbddcc6.jpg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': 'å\x85¨æ°\x91å\x81¥åº·ä¿\x9dé\x9aªã\x80\x81æ\x85¢æ\x80§ç\x97\x85ã\x80\x81å¤\x96ç±\x8dç\x9c\x8bè\xad·å·¥ã\x80\x81å\x81¥åº·ä¿\x83é\x80²ã\x80\x81ç¤¾å\x8d\x80é\x86«ç\x99\x82', 'ä½¿ç\x94¨é\x99\x90å\x88¶': 'å\x8f¯ç\x9b´æ\x8e¥ä½¿ç\x94¨'}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '9', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å¤\x9aé\x87\x8dæ\x85¢æ\x80§ç\x97\x85ç\x9b\x9bè¡\x8cï¼\x8cæ\x95´å\x90\x88æ\x8c\x91æ\x88°', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2F6aa18e091f9ab128c6744106.jpeg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': 'å\x8e\x9fæ°\x91å\x81¥åº·ã\x80\x81é\x81\xa0è·\x9dç\x85§è\xad·ã\x80\x81ç¤¾å\x8d\x80è²¬ä»»ã\x80\x81å¿\x97é¡\x98æ\x9c\x8då\x8b\x99ã\x80\x81é«\x98é½¡å\x81¥åº·ã\x80\x81ç¤¾å\x8d\x80é\x95·ç\x85§ç«\x99ã\x80\x81é\x81\xa0è·\x9dæ\x9c\x83è¨º', 'ä½¿ç\x94¨é\x99\x90å\x88¶': 'å\x8f¯ç\x9b´æ\x8e¥ä½¿ç\x94¨'}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '10', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å±\x85å®¶é\x86«ç\x99\x82ç\x9a\x84è\x90½å¯¦', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2F3b89c81c27d183bb666cde44.jpeg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': 'å¿\x97é¡\x98æ\x9c\x8då\x8b\x99ã\x80\x81å\x9c°æ\x96¹å\x89µç\x94\x9fã\x80\x81ç¤¾å\x8d\x80å\x9f¹å\x8a\x9bã\x80\x81è¾²æ\x9d\x91é\x95·ç\x85§ã\x80\x81å\x8e\x9fæ°\x91å\x81¥åº·ã\x80\x81å\x81¥åº·ä¿\x83é\x80²ã\x80\x81é\xa0\x90é\x98²ä¿\x9då\x81¥ã\x80\x81é\x81\x8bå\x8b\x95æ\x8c\x87å°\x8eå\x93¡ã\x80\x81é\x8a\x80é«®å\x81¥èº«', 'ä½¿ç\x94¨é\x99\x90å\x88¶': 'å\x8f¯ç\x9b´æ\x8e¥ä½¿ç\x94¨'}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '11', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å±\x85å®¶é\x86«ç\x99\x82ç\x9a\x84è\x90½å¯¦', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2F101d8fa87bf4252e1ed79ddf.jpeg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': 'å\x8e\x9fæ°\x91å\x81¥åº·ã\x80\x81é\x81\xa0è·\x9dç\x85§è\xad·ã\x80\x81ç¤¾å\x8d\x80è²¬ä»»ã\x80\x81å¿\x97é¡\x98æ\x9c\x8då\x8b\x99ã\x80\x81é«\x98é½¡å\x81¥åº·ã\x80\x81ç¤¾å\x8d\x80é\x95·ç\x85§ç«\x99ã\x80\x81é\x81\xa0è·\x9dæ\x9c\x83è¨º', 'ä½¿ç\x94¨é\x99\x90å\x88¶': 'å\x8f¯ç\x9b´æ\x8e¥ä½¿ç\x94¨'}
