date,下載數_Ep17,不重複下載數_Ep17,下載數_Ep14,不重複下載數_Ep14,下載數_Ep20,不重複下載數_Ep20,下載數_Ep 3,不重複下載數_Ep 3,下載數_Ep12,不重複下載數_Ep12,下載數_Ep19,不重複下載數_Ep19,下載數_Ep 6,不重複下載數_Ep 6,下載數_Ep15,不重複下載數_Ep15,下載數_Ep 7,不重複下載數_Ep 7,下載數_Ep16,不重複下載數_Ep16,下載數_Ep 2,不重複下載數_Ep 2,下載數_Ep 9,不重複下載數_Ep 9,下載數_Ep11,不重複下載數_Ep11,下載數_Ep13,不重複下載數_Ep13,下載數_Ep 5,不重複下載數_Ep 5,下載數_Ep 8,不重複下載數_Ep 8,下載數_Ep10,不重複下載數_Ep10,下載數_Ep 1,不重複下載數_Ep 1,下載數_Ep 4,不重複下載數_Ep 4,下載數_Ep18,不重複下載數_Ep18
2024/11/10 上午12:00:00,14,9,5,3,0,0,0,0,4,2,0,0,5,5,85,63,0,0,6,4,0,0,4,2,4,2,0,0,0,0,0,0,4,2,1,1,0,0,26,19
2024/11/11 上午12:00:00,12,8,4,2,0,0,0,0,1,1,0,0,6,5,17,15,0,0,7,4,0,0,0,0,1,1,2,1,0,0,2,1,0,0,3,3,0,0,38,30
2024/11/12 上午12:00:00,18,11,0,0,0,0,6,2,1,0,0,0,1,1,18,15,1,1,5,3,1,1,0,0,0,0,0,0,0,0,3,2,0,0,1,1,7,3,42,29
2024/11/13 上午12:00:00,8,6,1,1,0,0,0,0,1,1,0,0,2,2,10,9,2,1,2,2,1,1,0,0,1,1,3,3,1,1,0,0,2,1,2,2,0,0,32,29
2024/11/14 上午12:00:00,9,7,2,2,0,0,1,1,1,1,104,49,2,2,16,15,6,5,8,3,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,73,56
2024/11/15 上午12:00:00,4,3,0,0,0,0,2,1,0,0,307,190,2,1,12,10,0,0,1,1,4,3,4,3,2,1,4,3,2,1,2,1,0,0,2,1,0,0,39,34
2024/11/16 上午12:00:00,6,5,3,2,0,0,0,0,0,0,252,164,1,1,9,6,1,1,2,2,0,0,0,0,0,0,2,1,1,1,1,1,3,3,2,2,0,0,18,12
2024/11/17 上午12:00:00,2,2,0,0,0,0,2,1,3,2,149,99,1,1,8,6,2,1,1,1,3,2,0,0,0,0,2,1,1,1,2,0,0,0,0,0,1,1,13,10
2024/11/18 上午12:00:00,3,1,3,2,0,0,0,0,1,1,133,87,2,2,8,5,3,3,3,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,3,2,3,3,16,13
2024/11/19 上午12:00:00,6,5,4,3,0,0,0,0,3,2,59,43,2,1,6,6,3,2,0,0,0,0,0,0,4,2,2,2,4,2,2,1,0,0,2,1,3,2,11,11
2024/11/20 上午12:00:00,13,9,1,1,0,0,1,1,2,1,49,39,2,2,19,16,2,2,3,3,2,2,2,2,2,1,0,0,1,1,4,4,3,2,2,2,3,1,24,19
2024/11/21 上午12:00:00,2,2,1,1,0,0,0,0,0,0,46,37,1,1,14,13,2,2,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,3,2,47,39
2024/11/22 上午12:00:00,23,13,0,0,0,0,0,0,0,0,55,38,3,3,22,22,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,4,1,32,28
2024/11/23 上午12:00:00,7,3,1,1,0,0,1,1,2,2,21,12,2,2,16,16,1,1,6,3,7,7,1,1,1,1,1,1,3,3,1,1,1,1,8,8,2,2,11,8
2024/11/24 上午12:00:00,5,5,0,0,0,0,2,2,0,0,18,15,2,2,18,16,2,2,1,1,3,3,0,0,2,1,0,0,1,1,0,0,0,0,1,1,2,2,6,5
2024/11/25 上午12:00:00,5,2,3,1,0,0,0,0,1,1,33,23,1,1,158,118,0,0,5,2,0,0,8,1,9,4,0,0,1,1,1,1,2,1,0,0,2,2,15,11
2024/11/26 上午12:00:00,3,2,0,0,89,54,0,0,0,0,34,24,0,0,242,174,1,1,1,1,0,0,2,1,7,3,0,0,0,0,0,0,0,0,0,0,3,1,19,9
2024/11/27 上午12:00:00,12,5,0,0,348,223,4,3,0,0,26,19,3,1,205,153,1,1,7,2,4,3,1,1,0,0,0,0,2,1,0,0,2,2,1,1,1,1,19,13
2024/11/28 上午12:00:00,5,3,0,0,458,300,1,1,2,2,9,5,0,0,273,198,0,0,5,4,8,0,0,0,3,1,1,0,0,0,3,1,0,0,3,1,0,0,17,10
2024/11/29 上午12:00:00,4,3,0,0,212,136,0,0,0,0,9,7,0,0,193,139,0,0,1,1,0,0,0,0,0,0,4,1,6,2,0,0,0,0,0,0,0,0,7,5
2024/11/3 上午12:00:00,15,11,2,1,0,0,1,1,1,1,0,0,4,2,150,109,0,0,7,7,1,1,1,1,5,3,3,2,6,5,4,2,1,1,6,6,4,3,180,117
