文章標題,文章連結,圖片連結
健康及高齡友善城市獎出爐 51單位獲表揚,https://health99.hpa.gov.tw/news/19682,https://health99.hpa.gov.tw/storage/images/articles/467932766_968925881940529_4206599583305952790_n.jpg
為愛戒菸 無菸家庭好幸福,https://health99.hpa.gov.tw/news/19649,https://health99.hpa.gov.tw/storage/images/articles/463154529_940468704786247_5376773379369285688_n.jpg
失智「四大幸福」 共創友善台灣,https://health99.hpa.gov.tw/news/19619,https://health99.hpa.gov.tw/storage/images/articles/457574475_906832754816509_7103948836712877713_n.jpg
失智友善陪伴長輩過好年 6招安心出門,https://health99.hpa.gov.tw/news/19478,https://health99.hpa.gov.tw/storage/images/articles/426126585_779867480846371_2954156538634875515_n.jpg
「衛生所」是社區民眾健康的守護者 前瞻計畫大幅提升衛生所建物耐震安全,https://health99.hpa.gov.tw/news/19471,https://health99.hpa.gov.tw/storage/images/articles/422209595_771301171703002_8723495856010170871_n.jpg
龍年新希望 約定戒菸健康龍總贏 戒菸第一步「選定日子、下定決心」,https://health99.hpa.gov.tw/news/19459,https://health99.hpa.gov.tw/storage/images/articles/418487273_762175779282208_3277877200377082227_n.jpg
「健康促進機構」是社區民眾的守護者 全國服務績優機構榮獲608個獎,https://health99.hpa.gov.tw/news/19430,https://health99.hpa.gov.tw/storage/images/articles/404747610_735174345315685_8194907563240883502_n.jpg
發揮「失智友善『影』響力」 護腦5招預防及延緩失智,https://health99.hpa.gov.tw/news/19352,https://health99.hpa.gov.tw/storage/images/articles/401206898_727809796052140_1051371594558887576_n.jpg
「阿公阿嬤舞GO厲害」 10月24日共17隊超過700名長者參加總冠軍爭霸賽,https://health99.hpa.gov.tw/news/19343,https://health99.hpa.gov.tw/storage/images/articles/394587760_717384247094695_3438744587279753527_n.jpg
重陽戒菸啟動日 高齡健康長長久久 老年吸菸者比不吸菸者  心臟病、癌症及失智症風險高,https://health99.hpa.gov.tw/news/19341,https://health99.hpa.gov.tw/storage/images/articles/394739433_716996670466786_6561954763491562593_n.jpg
響應國際失智症月 失智友善社會共伴，同在行動+1,https://health99.hpa.gov.tw/news/19321,https://health99.hpa.gov.tw/storage/images/articles/380289302_698334502333003_4036193595024450839_n.jpg
