搜尋TAG,標題,連結
失智症+新手照顧,2023國際失智照護論壇系列報導／失智照護5階段 擬訂計畫打長照硬仗,https://health.udn.com/health/story/10697/7553520
失智症+新手照顧,協助長輩起身好困難？學會這幾招，起身、移位更省力！,https://health.udn.com/health/story/10697/7183881
失智症+新手照顧,失智患者初期夜上廁所易跌倒 預防半夜跌倒撇步大公開,https://health.udn.com/health/story/10697/7014039
失智症+新手照顧,失智者行動不便，請問家人如何協助沐浴？,https://health.udn.com/health/story/10697/6945391
失智症+新手照顧,將失智者接回家裡住，卻每天吵著要回家，是住的不習慣嗎？有什麼方式能改善？,https://health.udn.com/health/story/10697/6945392
失智症+新手照顧,春節想帶失智家人出遊，但不知他的體力是否能負荷？需要特別注意什麼嗎？,https://health.udn.com/health/story/10697/6916592
失智症+新手照顧,為什麼失智者抗拒洗澡？每次都要花上好幾個鐘頭，非常耗時耗力，有什麼方法可以改善？,https://health.udn.com/health/story/10697/6906731
失智症+新手照顧,喝水常嗆到小心是失智症前兆！專家：預防吞嚥障礙務必顧好「這裡」,https://health.udn.com/health/story/10695/6896430
失智症+新手照顧,陪失智者過春節 4重點做好準備,https://health.udn.com/health/story/10697/6896434
失智症+新手照顧,長輩最近走路越來越容易跌倒，是因為體力不好的原因嗎？,https://health.udn.com/health/story/10697/6827753
失智症+新手照顧,「候選人匯來買票錢」失智者選前陷混亂 醫提2招預防,https://health.udn.com/health/story/10697/6786223
失智症+新手照顧,失智又三高該怎麼吃？學會「飲食法」輕鬆照顧,https://health.udn.com/health/story/10697/6684418
失智症+新手照顧,失智者在意「尊嚴」？維持日常行為、照顧者配合演出延緩退化,https://health.udn.com/health/story/10697/6731065
失智症+新手照顧,失智並非什麼都無法自理！陪他們外出購物減緩脫節速度,https://health.udn.com/health/story/10697/6530495
失智症+新手照顧,飲食照護／失智者不吃東西是因為「吞嚥困難」？症狀跡象、照顧技巧一次學會,https://health.udn.com/health/story/10697/6409777
失智症+新手照顧,生活照護／失智長輩睡不著？用運動改善日夜顛倒,https://health.udn.com/health/story/10697/6355686
失智症+新手照顧,與失智者溝通像在對牛彈琴？善用「5技巧」讓互動變順暢,https://health.udn.com/health/story/10697/6376423
失智症+新手照顧,生活照護／失智者吵著「要回家」怎麼辦？溝通需掌握「三不」與「三意」,https://health.udn.com/health/story/10697/6258483
失智症+新手照顧,生活照護／失智了怎麼吃飯、穿衣？「食衣住行4大重點」照顧者要知道,https://health.udn.com/health/story/10697/6205373
失智症+新手照顧,延緩退化／失能者沒照顧好，可能更惡化！「日常照護10技巧」預防再次發生,https://health.udn.com/health/story/10697/6203142
失智症+新手照顧,外出旅遊／掌握出遊要點，帶失智長輩出門旅遊不再是難事,https://health.udn.com/health/story/10697/6206633
失智症+新手照顧,生活照護／銀髮族4大保暖要訣 注意溫差及電器使用安全,https://health.udn.com/health/story/10697/6042837
失智症+新手照顧,照護選擇／打破親力親為失智照顧迷思，別把自己逼到絕境,https://health.udn.com/health/story/121919/5892547
失智症+新手照顧,生活照護／防疫少外出 失智長者認知、社交功能下降,https://health.udn.com/health/story/10697/5878885
失智症+新手照顧,生活照護／專家：認識失智症 學習與長輩共處,https://health.udn.com/health/story/10697/5812055
失智症+新手照顧,初臨失智／長輩失智症狀嚴重嗎？6原則，教你如何長期追蹤、判斷嚴重度,https://health.udn.com/health/story/10697/5754217
失智症+新手照顧,生活照護／失智長輩白天嗜睡夜間躁動，如何改善睡眠障礙？,https://health.udn.com/health/story/10697/5725265
失智症+新手照顧,非藥物治療／失智症音樂治療2效果，幫助緩和患者情緒、延緩退化,https://health.udn.com/health/story/121934/5549983
失智症+新手照顧,生活照護／家有失智症患者，該如何佈置？掌握4要點，輕鬆打造失智友善居住環境,https://health.udn.com/health/story/10697/5549966
失智症+新手照顧,照護資源／失智症照顧資源有哪些？專家教你如何善用資源，減輕負擔,https://health.udn.com/health/story/121920/5549935
失智症+新手照顧,生活照護／失智長輩不戴口罩怎麼辦？台灣失智症協會：用7招破解,https://health.udn.com/health/story/10697/5473213
失智症+新手照顧,飲食照護／長者精神恍惚、日夜顛倒竟是水喝太少 醫建議這樣做,https://health.udn.com/health/story/10697/5430019
失智症+新手照顧,飲食照護／讓長輩好好吃頓飯 中醫教你穴位按摩、藥食同源,https://health.udn.com/health/story/10697/5413463
失智症+新手照顧,生活照護／長照常見問題 如何讓長輩能舒適洗澡？,https://health.udn.com/health/story/10697/5403764
失智症+新手照顧,失智課程／善用3平台 當個聰明照顧者,https://health.udn.com/health/story/121920/5261591
失智症+新手照顧,初臨失智／兵荒馬亂新手照護期 最需要知識分享,https://health.udn.com/health/story/10697/5261590
失智症+新手照顧,飲食照護／春節陪失智長輩用餐 慎選食物+耐心,https://health.udn.com/health/story/120650/5245096
