Word,Count
失智症,659
新手照顧,78
認知功能,62
大腦健康,62
失智100問,60
失智,59
照顧喘息,58
像極了失智,55
失智專題,54
阿茲海默症,53
失智資源,49
照顧者,46
延緩退化,46
失智友善,45
名人專家,40
失智照護,39
生活照護,33
非藥物治療,33
年輕型失智症,30
失智警訊,30
廖靜清,30
失智故事,23
羅真,23
鄧桂芬,23
預防方法,22
張益華,22
走失問題,22
友善社區,20
預防失智,19
地中海飲食,19
長照,18
失智篩檢,18
記憶力,18
憂鬱症,18
精神行為,17
延緩失智,16
記憶衰退,16
家庭關係,16
吳貞瑩,16
長照服務,15
認知障礙,15
幻覺,15
運動,14
走失協尋,14
失智類型,13
失能,13
失智據點,12
妄想,12
心靈雞湯,12
肌少症,11
失智症狀,11
記憶力衰退,11
疑似症狀,11
睡眠障礙,11
職能治療,11
陳雨鑫,11
照護選擇,11
居家環境,10
認知訓練,10
運動習慣,10
新北市衛生局,10
新冠肺炎,10
預防運動,10
懷舊治療,10
失智課程,10
飲食,9
輔具,9
失智照顧,9
台灣失智症協會,9
音樂治療,9
有氧運動,9
失智長輩,9
預防飲食,9
許政榆,9
黃安琪,9
延緩課程,9
日照中心,8
心血管疾病,8
麥得飲食,8
危險因子,8
吞嚥困難,8
家庭照顧者,8
長期照護,8
新北市政府衛生局,8
照護資源,8
肌力訓練,8
活化大腦,8
友善環境,8
照護方式,8
自立訓練,8
焦躁,8
預防走失,7
愛長照,7
神經內科,7
身心紓壓,7
飲食照護,7
桌遊,7
洗澡,7
失智科技,7
職務再設計,7
地中海食譜,7
健保大數據,7
相似病症,7
財務問題,7
陳碧珠,7
社區照護,7
高齡社會,6
詐騙,6
高齡化,6
失智風險,6
巫瑩慧,6
外出旅遊,6
日落症候群,6
曹汶龍,6
楊雅棠,6
憂鬱,6
人工智慧,6
原水文化,6
自我排解,6
高齡,5
健忘,5
腦部退化,5
糖尿病,5
轉移,5
老化現象,5
肌力,5
三高,5
高血壓,5
失眠,5
失智症症狀,5
台北市,5
轉移注意力,5
瑞智基金會,5
溝通技巧,5
張自強,5
藥物控制,5
修瑞瑩,5
社交活動,5
重複行為,5
台灣大哥大,5
安養機構,5
巴金森氏症,5
社交互動,5
簡浩正,5
失智偏見,5
天主教失智基金會,5
陳婕翎,5
飲食習慣,5
無障礙空間,5
動腦活動,5
照顧壓力,4
陳韻如,4
大腦,4
穴位按摩,4
移位,4
老年憂鬱,4
假性失智,4
線上課程,4
睡眠,4
焦慮,4
外籍看護,4
跌倒,4
中風,4
吸入性肺炎,4
吞嚥功能,4
健腦食物,4
壓力,4
睡眠品質,4
輔具資源,4
肥胖,4
防疫,4
1966,4
陳皓嬿,4
願景,4
林舜穀,4
失智量表,4
李樹人,4
黃耀庭,4
功能退化,4
失禁,4
科技照護,4
林良齊,4
友善天使,4
聯合報,4
邱宜君,4
衛生習慣,4
康健出版,4
記憶美食,4
健腦,3
早發性失智,3
翻身,3
靈性照顧,3
失智旅人,3
抗氧化,3
喘息服務,3
長期照顧,3
藝術治療,3
聽力退化,3
長照服務資源,3
腦霧,3
長照機構,3
新北市,3
鼻胃管,3
語言能力,3
老化,3
規律運動,3
情緒,3
中醫治療,3
發炎反應,3
壓力大,3
輔具挑選,3
泌尿道感染,3
太極拳,3
安撫情緒,3
二花小姐,3
日夜顛倒,3
安眠藥,3
退休,3
臺北市政府衛生局,3
重訓,3
屏東基督教醫院,3
腦中風,3
聽力障礙,3
老年病症候群,3
交通問題,3
卜敏正,3
生活型態,3
伸展運動,3
失智就醫,3
吞嚥障礙,3
營養攝取,3
定位手錶,3
好評推薦,3
個性變化,3
安全感,3
家人陪伴,3
農曆新年,3
魯永明,3
支持團體,3
外籍移工,3
創新科技,3
大是文化,3
愛心布標,3
生活品質,3
穿戴裝置,3
愛的手鍊,3
記憶訓練,3
指紋捺印,3
陳慧貞,3
唐從聖,3
復健,3
營養師,2
治療,2
大腦老化,2
不飽和脂肪酸,2
麥角硫因,2
拉傷,2
空氣汙染,2
助聽器,2
聽力受損,2
失語症,2
徐白櫻,2
老老照顧,2
遺囑,2
語言治療,2
綠色蔬菜,2
久坐,2
橄欖油,2
缺水,2
物理治療,2
照護,2
情緒不穩,2
夜尿,2
血管硬化,2
臨終照護,2
骨質疏鬆症,2
暴力,2
更年期,2
身心障礙者,2
記憶,2
遊走,2
溝通,2
八里療養院,2
銀髮族,2
情緒管理,2
長照四包錢,2
穴道按摩,2
慢性病,2
衰弱,2
健腦工程,2
頭部外傷,2
抽菸,2
雞蛋,2
顯影劑,2
林志豪,2
趙容萱,2
家族遺傳,2
助眠,2
天下雜誌,2
譫妄,2
譫妄症,2
長照資源,2
白澤卓二,2
褪黑激素,2
失智門診,2
偏鄉醫療,2
邱書昱,2
居家照護,2
中醫穴位,2
失智症協會,2
神經細胞,2
信託,2
徵文比賽,2
短期記憶,2
咀嚼功能,2
好讀周報,2
劉建良,2
精神科,2
魏忻忻,2
簡均穎,2
王慧瑛,2
張美映,2
失智迷思,2
新竹市,2
魏翊庭,2
王昭月,2
徐文俊,2
機構環境,2
陳雅玲,2
吸菸,2
陳秋雲,2
中暑,2
季節性憂鬱症,2
蒙特梭利,2
定向感,2
劉惠敏,2
李京昇,2
人臉辨識,2
這樣動不失智,2
林麒瑋,2
保險理賠,2
手指操,2
理財規劃,2
法律概念,2
道路駕駛,2
蔡詩萍,2
郎祖筠,2
生命故事,2
重複問題,2
龍應台,2
譚艾珍,2
腦部刺激,2
魏莨伊,2
資料夾文化,2
冰箱,2
節氣,2
刷牙,2
副作用,2
挖鼻孔,1
念珠菌,1
認知衰退,1
牙齦,1
牙齒,1
老年憂鬱症,1
壓瘡,1
堅果,1
紅肉,1
豆類,1
居服員,1
胺基酸,1
身心科,1
血糖控制,1
血液循環,1
抗氧化劑,1
工作壓力,1
咖啡因,1
護腦,1
蝦紅素,1
駝背,1
壽命,1
長壽,1
醫材,1
挖耳朵,1
心理治療,1
高血糖,1
血脂異常,1
家人,1
林黛羚,1
地板花色,1
缺牙,1
牙周病,1
蜂蜜,1
線上講座,1
黑糖,1
慢性發炎,1
針灸,1
人格特質,1
易怒,1
熟齡族,1
中高齡,1
熟年高齡,1
補助,1
全穀類,1
爆米花,1
失智友善村,1
基隆市,1
高雄,1
嘉義,1
維生素A,1
得舒飲食,1
前兆,1
抗氧化物,1
維生素C,1
移工,1
癌症治療,1
補充水分,1
早期徵兆,1
便秘,1
功能性,1
營養素,1
維他命,1
衰老,1
口腔衰弱,1
肌肉無力,1
FDA,1
臨床實驗,1
惡化,1
基因檢測,1
醫療照護,1
生命教育,1
起身艱難,1
遺囑信託,1
呼吸道感染,1
空汙,1
走路,1
骨密度,1
阿茲海默氏症,1
認知功能下降,1
健康習慣,1
私密處,1
慢性疼痛,1
出遊,1
旅行規劃,1
居住問題,1
口服藥物,1
八段錦,1
精神行為症狀,1
均衡飲食,1
BMI,1
保暖,1
容易跌倒,1
失智者,1
生活習慣,1
新冠後遺症,1
偏頭痛,1
穴道,1
養生,1
穴位,1
選舉,1
慢病,1
何宏胤,1
腰臀比,1
體脂肪,1
食譜,1
ω-3脂肪酸,1
海帶,1
維生素,1
健康報網,1
阮光鋒,1
保健食品,1
早安健康,1
薑黃素,1
中醫,1
豆漿,1
主動脈瓣膜狹窄,1
水腫,1
記憶保健,1
失智標籤,1
蛋白質,1
蔡家蓁,1
羅建旺,1
蔡惠芳,1
退休症候群,1
蔡容喬,1
戴永華,1
情感淡漠,1
張弘昌,1
視力模糊,1
維生素B12,1
貧血,1
退化,1
過度飲食,1
走路運動,1
午睡時間,1
巴金森氏病,1
康健,1
吱吱復健,1
腦萎縮,1
鄭淳予,1
老人照護,1
臺中市政府衛生局,1
肌肉量,1
油脂,1
椰子油,1
亞麻仁油,1
反式脂肪酸,1
食用油,1
卡路里,1
排毒,1
健康飲食,1
病毒感染,1
柔軟度,1
振興醫訊,1
人際關係,1
遺傳,1
MRI,1
健保,1
腸道,1
加工食品,1
膽固醇,1
吞嚥飲食,1
照顧父母,1
孩子,1
確診,1
心理壓力,1
肩頸痠痛,1
免疫力,1
獨居,1
失憶,1
親友關係,1
齊萱,1
癌症,1
媽媽,1
情緒勒索,1
手腳冰冷,1
中藥,1
肌耐力,1
暖暖書屋,1
看護,1
財產,1
行動輔具,1
居家醫療,1
解封,1
遠距醫療,1
初臨失智,1
胃造口,1
進食困難,1
疫情,1
高齡友善,1
黃渤,1
社會參與,1
微解封,1
口罩,1
海馬迴,1
腺病毒,1
脫水,1
生命尊嚴,1
化妝品,1
水腦症,1
照服員,1
游明煌,1
沈佩臻,1
吳佩旻,1
財務規劃,1
全民健保,1
潘乃欣,1
7-ELEVEN統一超商,1
吳亮賢,1
