疾病,類別,主題,問題,解答連結
巴金森病（帕金森氏症）,疾病診斷,確診困難,Q⦁父親因為心臟不舒服一直掛急診，流連各科檢查才發現是巴金森病。請問巴金森病為什麼跟心臟不舒服有關？還有哪些症狀可能和巴金森病有關？,https://health.udn.com/health/care/135/293198
巴金森病（帕金森氏症）,疾病診斷,遺傳,Q⦁最近手部會顫抖，和媽媽的症狀很像，我懷疑我也有巴金森病！巴金森病是遺傳性疾病嗎？,https://health.udn.com/health/care/135/293199
巴金森病（帕金森氏症）,疾病診斷,藥物引發巴金森病症狀,"Q⦁看到網路上有人說,頭痛吃太多止痛藥會導致巴金森病,這是真的嗎？藥物引發的巴金森病會好嗎？",https://health.udn.com/health/care/135/293200
巴金森病（帕金森氏症）,疾病診斷,手指檢測,Q⦁爸因為關節卡卡跟肩膀痠痛掛號神經科，醫師叫他做雙手拇指食指開合的手指檢測，認為爸爸罹患巴金森病。請問什麼是手指檢測，為什麼手指檢測可以檢測巴金森病呢？,https://health.udn.com/health/care/135/293201
巴金森病（帕金森氏症）,疾病診斷,自我檢測表,Q⦁奶奶平衡感變差，手也常不自覺顫抖，這是自然老化嗎？有什麼量表或方法可以評估奶奶有沒有巴金森病呢？,https://health.udn.com/health/care/135/293202
巴金森病（帕金森氏症）,疾病診斷,失智症比較,Q⦁阿公最近生活能力退化明顯，不只行動變遲緩，也愈來愈不喜歡和人互動，以為是失智症，醫師卻說他是巴金森病。請問這2種病有什麼不一樣呢？,https://health.udn.com/health/care/135/293203
巴金森病（帕金森氏症）,疾病診斷,非典型巴金森病,Q⦁什麼是非典型巴金森病？和巴金森病有什麼不同？是否也有凍僵步態的情況呢？非典型病程進展速度很快嗎？,https://health.udn.com/health/care/135/293204
巴金森病（帕金森氏症）,動作障礙,藥效見效時間,Q⦁因為左手臂一直顫抖，剛被診斷出罹患巴金森病。目前吃藥吃2個禮拜了但手還是會抖，請問這是正常的嗎？減緩顫抖的藥需要吃多久才會見效？,https://health.udn.com/health/care/136/293205
巴金森病（帕金森氏症）,動作障礙,改善身體僵硬,Q⦁想改善身體僵硬的問題，我可以用遠紅外線泡腳機嗎？還是有其它的舒緩方法？,https://health.udn.com/health/care/136/293206
巴金森病（帕金森氏症）,動作障礙,運動建議,Q⦁我罹病2年，目前有單邊腳抖的症狀，想加強運動復健，請問我應該找健身教練訓練，還是上醫院的物理治療課程呢？有適合在家完成的運動嗎？,https://health.udn.com/health/care/136/293207
巴金森病（帕金森氏症）,動作障礙,步態不穩,Q⦁罹病的我2年前開始走路不平衡時常跌倒，現在都會避免單手提重物，減少重心不穩跌倒的狀況。請問還有什麼方法能降低行動時跌倒的風險呢？,https://health.udn.com/health/care/136/293208
巴金森病（帕金森氏症）,動作障礙,鞋子選擇,Q⦁爺爺巴金森2期雖然可以自行走路，但因為腳抬不高、走路不穩容易跌倒，鞋子前方也容易磨損，請問巴金森病友挑選鞋子時該留意哪些部分呢？,https://health.udn.com/health/care/136/293209
巴金森病（帕金森氏症）,動作障礙,撲克臉,"Q⦁爸爸已經在接受治療,但還是有臉部僵硬的情形,請問有什麼方法或運動能訓練臉部神經嗎？",https://health.udn.com/health/care/136/293210
巴金森病（帕金森氏症）,動作障礙,不寧腿,Q⦁晚上睡覺一躺著就全身刺痛、發癢，像是螞蟻在身上爬，必須一直動才能舒緩。為什麼會有這樣的症狀呢？,https://health.udn.com/health/care/136/293211
巴金森病（帕金森氏症）,動作障礙,牙齒緊咬,Q⦁媽媽罹患巴金森病很多年了，最近幾個月每到下午就會抱怨牙痛，晚上也會因為牙齒不自覺緊咬而痠痛。請問這是巴金森病導致的症狀嗎？,https://health.udn.com/health/care/136/293212
巴金森病（帕金森氏症）,非動作障礙,情緒低落,Q⦁罹患巴金森病後，我出現情緒低落、焦慮、睡眠障礙問題，這是正常症狀嗎？我應該找神經內科還是精神科看診呢？要靠吃藥才能改善嗎？,https://health.udn.com/health/care/137/293213
巴金森病（帕金森氏症）,非動作障礙,妄想溝通,Q⦁會因罹患巴金森病而產生懷疑、被害妄想的症狀嗎？有什麼方法能減輕？同住家人很困擾，要如何和有妄想症狀的患者溝通呢？,https://health.udn.com/health/care/137/293214
巴金森病（帕金森氏症）,非動作障礙,幻覺,Q⦁母親罹病已13年，近年無藥效時人無法動彈，服藥後可行動但會出現幻覺。我很希望能帶媽媽多運動，或是好好講講話，但她的幻覺讓我們什麼都做不了，該怎麼改善呢？,https://health.udn.com/health/care/137/293215
巴金森病（帕金森氏症）,非動作障礙,幻聽,Q⦁媽媽服用巴金森病藥物後，一直說有人打電話找她出門，有嚴重幻聽情形，但又不能不吃藥，有辦法轉移她的注意力嗎？該怎麼改善幻聽症狀？,https://health.udn.com/health/care/137/293216
巴金森病（帕金森氏症）,非動作障礙,性衝動,Q⦁家父已有近17年巴金森病史，最近幾個月非常著迷於鎖碼（彩虹）頻道，家人及外籍看護很困擾，突然變化是生病造成的嗎？可以怎麼處理呢？,https://health.udn.com/health/care/137/293217
巴金森病（帕金森氏症）,非動作障礙,衝動購物,Q⦁家人罹患巴金森病後，一直想買東西，包括家庭用品跟衣服，家中囤物狀況嚴重，家屬該怎麼協助改善？,https://health.udn.com/health/care/137/293218
