Title,Link,內文,Type,來源為報系
生活照護／長照常見問題 如何讓長輩能舒適洗澡？,https://health.udn.com/health/story/10697/5403764,,,
生活照護／一直問失智者「我是誰」、「他是誰」？  6個NG行為別再做了,https://health.udn.com/health/story/10697/5225504,,,
失智科技／健康存摺APP再升級  3月起放寬親屬查詢,https://health.udn.com/health/story/121922/3620528,,,
精神行為／長輩見鬼？該看醫師而非法師,https://health.udn.com/health/story/10697/4431703,,,
溝通技巧／高齡門診最愛問：失智症者跳針問話 溝通有3招,https://health.udn.com/health/story/122289/5122712,,,
失智症新手照顧難題 聯合報與WaCare四堂線上課程解惑,https://health.udn.com/health/story/5692/4741240,,,
2024失智永續論壇／友善餐點、空間改裝 溫暖失智家人,https://health.udn.com/health/story/121922/8402919,,,
2024失智永續論壇／齋藤正彥：不要在失智症者身上追求合理性,https://health.udn.com/health/story/121923/8402794,,,
邊看邊記 看完分享 看電視也能防失智,https://health.udn.com/health/story/121934/8402080,,,
關節問題竟排最後！熟齡族保健最在乎「抗衰老」  抗老撇步公開,https://health.udn.com/health/story/6039/8389926,,,
旋律聲中看見希望！音樂療癒打開失智症家庭的心房,https://health.udn.com/health/story/121934/8377268,,,
記憶衰退是正常老化或失智？醫教你如何分辨及何者可能恢復,https://health.udn.com/health/story/5965/8375381,,,
睡眠中拳打腳踢、大吼大叫是怎麼了？教授揭該如何應對與處置,https://health.udn.com/health/story/5965/8369508,,,
為了在中年保持健康 專家建議50歲後應該多攝取的5種常見食物,https://health.udn.com/health/story/6037/8367693,,,
阻肌肉流失、維持大腦認知…中年的你每周必吃5種高營養食物,https://health.udn.com/health/story/6039/8367749,,,
「健腦小測驗」快速評估你的大腦健康 幫助延緩認知退化、預防失智症,https://health.udn.com/health/story/123539/7315476,,,
吃腦補腦恐增腦中風、血管性失智風險！12種補腦食物一次公開,https://health.udn.com/health/story/6037/8338270,,,
記憶熱蘭遮 失智症協會舉辦成立20周年老照片展,https://health.udn.com/health/story/8118/8336690,,,
邊記動作邊活動 揪團運動促社交、防失智,https://health.udn.com/health/story/10734/8331344,,,
失智症早發現早治療 可延緩退化5至8年,https://health.udn.com/health/story/121923/8329995,,,
【Podcast】Ep18.當父母罹患失智症，身為子女的我該如何面對最熟悉的陌生人？,https://health.udn.com/health/story/123902/8330622,,,
做不到日行萬步沒關係，步速更關鍵！調整走路5動作讓你走得更快,https://health.udn.com/health/story/6033/8323639,,,
預防阿茲海默症的飲食策略　提升神經生長因子的關鍵方法,https://health.udn.com/health/story/10696/8311409,,,
永遠不嫌早！專家建議為了大腦健康 你每天應該做的4件事,https://health.udn.com/health/story/5965/8308248,,,
周末賴床好處多！台大研究：可降低74%失智風險,https://health.udn.com/health/story/5999/8302581,,,
近80歲退休師「忘東忘西」非失智 醫：及早診斷有機會逆轉,https://health.udn.com/health/story/5964/8298296,,,
醫療奉獻獎／翻轉老人癡呆汙名  天主教失智老人基金會帶失智者走進陽光,https://health.udn.com/health/story/6001/8296594,,,
中年過後更要看！想要健康呷百二，70歲是關鍵！醫：及早做到3件事不怕急速衰老,https://health.udn.com/health/story/6039/8225616,,,
別以為2者之間沒關係 最新研究稱3種心臟病可能影響大腦健康,https://health.udn.com/health/story/5977/8290701,,,
年紀越大睡得越少？專家告訴你真正需要的睡眠時間及如何睡好,https://health.udn.com/health/story/5964/8277676,,,
研究發現多攝取類黃酮助降失智症風險，這些食物含量多,https://health.udn.com/health/story/121934/8248218,,,
戒菸、控制三高！相較退化性失智症 血管性失智能從病因預防,https://health.udn.com/health/story/10695/8256072,,,
爸爸失智，媽媽形同沒有伴！該如何為失智家人做照護決定？,https://health.udn.com/health/story/10844/8255622,,,
【Podcast】Ep16. 旅人Talks：獨扛重擔圓滿孝道？三天內吃完一周的藥？26歲肩負照顧責任？從失智旅人看照顧怎麼伴！,https://health.udn.com/health/story/123902/8252171,,,
