Link,內文,作者
https://health.udn.com/health/story/5965/1959580,想預防失智，從大腦抗老開始。長期投入失智症研究的台北榮總一般神經內科主治醫師傅中玲表示，國內外已有多篇研究證明，運動和少吃可預防失智，所以她不開車，能走路時盡量選擇走路，飲食上也不過量，且從事「動腦」工作，也可讓她保持大腦思緒清晰。她只感嘆工作太忙，無法有更多時間運動，但她會想辦法努力達成。傅中玲表示，關於運動防失智的研究非常多，證據最充足，她建議從中年開始定期運動，且要有一定強度，不能只是「散步」，至少運動完心跳應達每分鐘130下，腦子不萎縮，老年失智機會就較低，所以英文有一句俗話就是「現在抽不出時間運動，以後就會抽出時間生病。」有研究指出，走路開始變慢是身體和大腦情況變差的表現，所以不能把走路慢當作「老」的表現，可能智能也跟著下降了。不過傅中玲笑說，當發現自己走路變慢別擔心，可以訓練自己邊走路邊思考，例如走路的同時算數學，或是「七步成詩」，這種雙重訓練是用來幫助帕金森氏病人，且確實有成效。至於「健腦」活動能幫大腦抗老嗎？傅中玲不遲疑地說「會！」雖然健腦的研究證據沒有運動來得強，但她舉例，北榮長期帶領長輩閱讀、彈奏樂器、下棋等，這些能夠動腦思考的活動，確實發現有效預防長輩失智。另社交活動也有健腦成分存在，喜歡參加社交活動的長輩也比較不會失智。國外有研究報告指出，從事動腦工作的人，比從事體力勞動工作的人，更不會失智。不過傅中玲對此研究抱保守態度，她說，畢竟從事動腦工作的人薪資待遇較高，較富裕的人可能愈有錢有閒運動保養，所以研究結果當參考就好。傅中玲坦言，失智的危險因子幾乎都會從中年開始累積，所以從中年就要矯正不利因子，例如肥胖、高血壓、糖尿病等，對老年失智都有影響。可惜男性不如女性重視健康，常在健康出狀況後才後悔。曾有小鼠研究發現，只吃一般食物量7成的小鼠，其壽命比吃正常食物量的小鼠來得久，也就是小鼠吃得少，但活得久且有活力，後來用猴子做實驗，也有類似發現；結論認為要長壽，飲食量就不能多。雖然機轉目前不清楚，但有一派學者認為，暴飲暴食要用更多能量來消耗，壽命當然就不長。傅中玲表示，上述實驗有參考價值，因肥胖本來就是一種慢性發炎，對腦子比較不利，且當血壓和血糖過高且失去控制，長期會產生許多併發症，誘發失智機會也高。當然，瘦成皮包骨也不好，她建議每天飲食吃七到八分飽，但營養一定要均衡。談到飲食營養，傅中玲表示，多蔬果、多白肉的「地中海飲食」已證實有防失智效果，和台灣的紅肉飲食習慣不同，建議蛋白質攝取可改魚肉為主，蔬果也應多吃；另有研究發現喝咖啡也可防失智。中研院最新研究也發現，印度失智人口少，可能是因咖哩內的「薑黃素」幫大忙，不過傅中玲說，依流行病學角度來看，印度平均壽命低，所以失智人口才少。傅中玲表示，國人對飲食營養很瘋狂，經常有新研究出爐，就瘋狂吃某種單一食物，但食物應多樣性攝取營養才是，若想從食物中得到某種單一營養成分，還不如從「藥物」攝取來得穩定。她建議，對於健康食物，可以多吃一點、多喝一杯，不需要強迫狂吞狂喝。至於抽菸、酗酒及熬夜等不良生活習慣，因會增加心血管疾病及中風機會，失智風險也跟著增加。而且睡覺時間是大腦清除類澱粉蛋白的時間，一旦熬夜作息大亂，類澱粉蛋白堆積，情緒易憂鬱，晚年失智風險也增。💪更多健康推薦‧77歲婦擁2千萬、住豪宅開進口車 陷入「隱性貧困」瀕臨破產‧大晴天曬衣服易乾卻有副作用？「夏日洗衣術」和泛黃汗臭說掰掰‧旅行總是便秘、腸胃不適好惱人！營養師揭5要訣讓你健康旅遊不掃興失智運動肥胖高血壓糖尿病這篇文章對你有幫助嗎?實用不實用上一篇「試用心得」元氣網推薦~護力養液體營養品試用心得，及6天體感有效問卷調查公佈下一篇自殺高居青壯年死因第二 張書森：破除「 只能靠自己」的毒性文化，建立友善求助環境,"聯合報
                                                    ／ 記者鄧桂芬╱即時報導"
https://health.udn.com/health/story/5965/3135603,台北榮民總醫院高齡醫學中心主任陳亮恭昨天在台日高齡醫學論壇中透露，陽明大學高齡與健康研究中心以社區民眾為主體，透過人工智慧的分析架構，找出與肌少症高度相關的蛋白質。更嘗試以社區民眾的腦影像為基礎，透過人工智慧深度學習建立起「腦齡」，作為腦部健檢的新參據。陳亮恭表示，人工智慧對生醫發展將產生深遠的影響，但像「老化」這件事就非常複雜，也不是傳統上人工智慧的領域。不過強大的演算能力能協助醫師探索生命的奧秘。透過人工智慧的分析架構，陽明及榮總等團隊已找出傳統方法找不出來的，與肌少症高度相關的蛋白質。他們也以社區民眾的腦影像為基礎，透過深度學習建立起「腦齡」，未來就可利用腦影像檢查診斷包括腦部疾病在內的健康狀態。陳亮恭形容，可以想像那是一種類似看面相的概念，用腦影像做整體健康預測。在人工智慧及精準醫療的趨勢下，今天台日專家也異口同聲提醒，診斷及追溯病因的研究是日益精細，但疾病治療卻日益需要整合。花蓮慈濟醫院院長林欣榮就分享如何協助因為中風等疾病依賴輪椅的人，重拾行走能力。例如腦積水可能使老人性格異常、走不穩、記憶變差及漏尿，除了可直接手術消除腦水腫外，還應同時治療並存的疾病如巴金森氏症。如能再依病人不同，輔以幹細胞、顆粒球細胞生長激素（GCSF）等治療，並加上復健、輔具、高壓氧、中藥及針灸，就有更好的機會離開輪椅站起來自理生活。日本國立長壽醫療研究中心老年預防醫學部醫師土井剛彥也說，愈來愈多研究發現，要降低失智症等風險，採行的預防措施不能獨沽一味，而是應有多元的活動。目前看來，需要記住一些動作，聽到聲音或指示就能做出相應的動作較有效果。例如跳舞就比單純聽音樂更能預防失智。💪更多健康推薦‧77歲婦擁2千萬、住豪宅開進口車 陷入「隱性貧困」瀕臨破產‧大晴天曬衣服易乾卻有副作用？「夏日洗衣術」和泛黃汗臭說掰掰‧旅行總是便秘、腸胃不適好惱人！營養師揭5要訣讓你健康旅遊不掃興蛋白質失智症巴金森氏症肌少症腦水腫這篇文章對你有幫助嗎?實用不實用上一篇全球高齡化社會失智症來襲，AI植物新藥盼為記憶點燈下一篇魔鬼藏在細節裡！明星主廚波登的廚房機密：不在1類餐廳用餐,"聯合報
                                                    ／ 記者魏忻忻／台北報導"
https://health.udn.com/health/story/5965/3409750,71歲許姓婦人突然不知怎麼拿筷子、不會寫LINE、講話也詞不達意，腦部核磁共振發現，原因出於她的左側中大腦動脈分支有阻塞，造成腦部頂葉區域中風，因而出現認知功能障礙。 醫師診斷認為她是因三高引起的梗塞性腦中風，也就是所謂的「格斯特曼症候群」經兩週藥物及復健治療，症狀已改善許多。長安醫院神經內科醫師陳惠萱說，許婦左側中大腦動脈分支出現阻塞，導致腦部灌流不足，因阻塞部位位於頂葉，造成腦細胞壞死和此處的腦部功能喪失，臨床上特殊的表現稱為格斯特曼症候群。此症通常會出現4個主要特徵：第一、左右混淆，沒辦法分別左右手；第二、手指辨識困難；第三、計算困難，例如失去買菜的社會功能；第四、書寫困難；這些都明顯表現在許婦的行為上。其他還可能包括使用物品功能的喪失，有時語言理解和表達也會受到影響。此症候群因許多原因引起，中風是其中之一。因中風也算是「血管性失智症」，它和一般神經退化性失智表現不同，一般是突然間發生或因為不同時間的多次中風引起，臨床症狀會像下樓梯一樣一階一階的惡化。陳惠萱提醒，眼歪、口斜、手腳無力和講話吞嚥有問題是中風的典型表現，一般較容易分辨，但發生認知功能問題，家人常誤以為是老人家的退化造成，往往因此延誤治療時機。因此，突然發生的記憶、語言、理解和聽說讀寫等問題，都可能是中風的表現，必須趕快就醫。編輯推薦不只會得糖尿病！專家告訴你這些疾病都跟高血糖有關膝蓋關節退化有4階段 骨科醫：出現這些徵兆千萬別拖💪更多健康推薦‧77歲婦擁2千萬、住豪宅開進口車 陷入「隱性貧困」瀕臨破產‧大晴天曬衣服易乾卻有副作用？「夏日洗衣術」和泛黃汗臭說掰掰‧旅行總是便秘、腸胃不適好惱人！營養師揭5要訣讓你健康旅遊不掃興腦中風失智症三高這篇文章對你有幫助嗎?實用不實用上一篇魔鬼藏在細節裡！明星主廚波登的廚房機密：不在1類餐廳用餐下一篇王鴻薇關注公文處理！食藥署長道歉並強化內部規範！,"聯合報
                                                    ／ 記者黃寅╱即時報導"
https://health.udn.com/health/story/5965/3411011,許奶奶突然不知怎麼拿筷子、原本用LINE用得很習慣，也突然不會用了；講話詞不達意。經腦部核磁共振發現，她的左側中大腦動脈分支阻塞，造成腦部頂葉區域中風，因而出現認知功能障礙。醫師診斷，許奶奶因三高引起的梗塞性腦中風，也就是所謂的「格斯特曼症候群」，經兩周藥物及復健治療，症狀才獲改善。台中市長安醫院神經內科醫師陳惠萱昨天指出，71歲的許奶奶因左側中大腦動脈分支出現阻塞，導致腦部灌流不足，且因阻塞部位是頂葉，造成腦細胞壞死和此處腦部功能喪失，臨床上稱為格斯特曼症候群。格斯特曼症候群通常有四個主要特徵：一、左右混淆，沒辦法分別左右手；二、手指辨識困難，無法分清那隻指頭是什麼指頭；三、計算困難，例如失去買菜的社會功能；四、書寫困難。這些都明顯表現在許奶奶的行為上。其他還可能包括使用物品功能喪失，有時語言理解和表達也會受到影響。此症候群因許多原因引起，中風是其中之一。中風也可能導致「血管性失智症」，它和一般神經退化性失智慢慢的退化表現不同，一般都是突然發生或因不同時間多次中風引起，臨床症狀會像下樓梯一樣，一階一階的開始逐漸惡化。陳惠萱提醒，眼歪、口斜、手腳無力和講話吞嚥等，是中風的典型表現，一般較容易分辨，但發生認知功能問題，家人常誤以為是老人家退化造成，往往因此延誤治療時機。她建議，長輩若突然發生記憶、語言、理解和聽說讀寫等問題，都可能是中風的表現，應趕快就醫。編輯推薦史上最大宗分析：維他命D對「護骨」完全無用牛奶vs.豆漿若要分高下 喝哪個較有營養價值？💪更多健康推薦‧77歲婦擁2千萬、住豪宅開進口車 陷入「隱性貧困」瀕臨破產‧大晴天曬衣服易乾卻有副作用？「夏日洗衣術」和泛黃汗臭說掰掰‧旅行總是便秘、腸胃不適好惱人！營養師揭5要訣讓你健康旅遊不掃興腦中風失智症認知功能這篇文章對你有幫助嗎?實用不實用上一篇20歲女「每天高潮無數次」無法工作社交 醫生只能用一種藥物壓制下一篇王鴻薇關注公文處理！食藥署長道歉並強化內部規範！,"聯合報
                                                    ／ 記者黃寅／台中報導"
https://health.udn.com/health/story/5965/3456999,失憶未必是失智，一名75歲阿嬤半年前開始出現記不起新人名、地名、電話的情形，就醫檢查並無罹患失智症的傾向，卻意外檢查出她對於一連串的數目或文字會漏記或漏看。進一步求診眼科才知道，肇因於左側後枕葉腦中風。腦中風如何影響視力？書田診所副院長廖士傑說明，右側影像會分別投射至右眼的鼻側及左眼的顳側視網膜，藉視神經傳導，右眼鼻側視網膜訊息會在位於腦下垂體上方的視神經交叉處左右互換，因此右側的影像訊號經由視神經傳導後，會到達位於左側後枕葉的視覺中樞。一旦左側後枕葉視覺中樞有病變，就會出現右半邊視野缺損的症狀。廖士傑說，成人若出現半邊的視野缺損，排除眼睛本身問題後，有六至八成的機率可能是腦中風，一成至一成五機率為外傷，一成至一成五機率為腫瘤，兒童則約有四成機率是腦部腫瘤。那名阿嬤的左右眼視力、眼壓與眼睛內外結構都正常，但右半邊視野缺損，因此醫師進一步安排腦部斷層掃描，證實為左側後枕葉腦中風，解開長期失憶的原因，並對腦中風作後續治療。廖士傑提醒，家中長輩出現失憶、記憶力不佳的症狀時，不一定都是失智，須經由專業的評估，有些可能是聽覺或是視覺的障礙，造成無法正確接收外界訊息，甚至可能是視覺中樞的中風，不得不慎。💪更多健康推薦‧77歲婦擁2千萬、住豪宅開進口車 陷入「隱性貧困」瀕臨破產‧大晴天曬衣服易乾卻有副作用？「夏日洗衣術」和泛黃汗臭說掰掰‧旅行總是便秘、腸胃不適好惱人！營養師揭5要訣讓你健康旅遊不掃興腦中風失智症這篇文章對你有幫助嗎?實用不實用上一篇78歲父親獨居鄉下因沉迷手遊出事 過世後兒處理遺產「發現更大錢坑」下一篇何時開始都不嫌遲 研究揭輕鬆改變生活習慣也能減緩認知衰退,"聯合報
                                                    ／ 記者羅真╱即時報導"
https://health.udn.com/health/story/5965/3457311,高齡社會到來，失智症成為人人聞之色變的疾病，但有時無法清楚記得新人名、地址、電話，可能不是失智症，是因腦中風導致視力缺損漏記、漏看，才呈現疑似失智症狀。近日就有一名75歲女士，遇到類似經驗，神經內科醫師表示，一般的退化型失智症是慢慢發生，且伴隨個性丕變；腦中風導致的視力缺損、無法記住東西則是突然發生。一名75歲的女士，約半年前開始，無法清楚記得新人名、地址、電話，她的親友都懷疑這是失智症導致，進行評估卻沒有失智症傾向，但發現她對於一連串的數目或文字，右側都會漏記或漏看。婦人眼睛內外結構都正常，眼科安排雙眼視野檢查，發現雙眼右半邊視野缺損，再進一步安排腦部斷層掃描，證實為左側後枕葉腦中風。書田診所眼科副院長廖士傑表示，後枕葉管控視覺，右側的影像會在位於腦下垂體上方的視神經交叉處左右互換，因此右側的影像訊號經由視神經傳導後，會到達位於左側後枕葉的視覺中樞，當左側後枕葉視覺中樞有病變時，就出現右側偏盲，也就是右半邊視野缺損的症狀。廖士傑提醒，當出現右或左半側視野缺損，對成年人而言，6至8成原因為腦中風，這樣的視野缺陷都是一瞬間突然發生，但患者本身不會自覺。長庚失智症中心主任徐文俊則說，左側後枕葉腦中風占所有腦中風的發生率約1成，研判視覺障礙，及後大腦動脈流經顳葉及海馬體血流量不足，導致短期記憶變差。徐文俊表示，左側後枕葉腦中風導致的記性變差跟失智症的分別，一般的退化型失智症是慢慢發生；腦中風導致的則是突然發生。建議一定要做腦部電腦斷層，先排除器官病變可能性  才可以更有效把握治療黃金期，如錯過一直拖延，可能再次發生多重中風，造成嚴重失能，甚至死亡。中風前多會出現如短暫麻痹現象，如突然視力變模糊或喪失、突然說話大舌頭或流口水、半邊的手腳或臉會突然沒力或麻木、手中的物品突然脫落、步態不穩等，徐文俊提醒，出現這些症狀應盡快就醫，詳細檢查身體狀況。尤其三高、抽菸、喝酒、肥胖、心臟病、年紀大於55歲者都要特別留意。💪更多健康推薦‧77歲婦擁2千萬、住豪宅開進口車 陷入「隱性貧困」瀕臨破產‧大晴天曬衣服易乾卻有副作用？「夏日洗衣術」和泛黃汗臭說掰掰‧旅行總是便秘、腸胃不適好惱人！營養師揭5要訣讓你健康旅遊不掃興失智症腦中風失能這篇文章對你有幫助嗎?實用不實用上一篇流行性腦脊髓膜炎添1死 累計病例數創8年同期新高下一篇愛吃薯條易得糖尿病？馬鈴薯並非天生「不健康」 這樣吃控體重穩血糖,"聯合報
                                                    ／ 記者陳婕翎╱即時報導"
https://health.udn.com/health/story/5965/3458117,高齡長者無法清楚記得新人名、地址、電話，有可能是因腦中風導致視力缺損漏記、漏看，才呈現疑似失智症狀。神經內科醫師表示，一般的退化型失智症是慢慢發生，且伴隨個性丕變，腦中風導致的視力缺損、無法記住事物，則是突然發生。一名75歲的阿嬤突然無法記住新人名、地址、電話，親友都懷疑是失智症，進行評估沒有失智症傾向，卻發現她對於一連串數目或文字，右側都會漏記或漏看。婦人眼睛內外結構都正常，眼科安排雙眼視野檢查，發現雙眼右半邊視野缺損，再進行腦部斷層掃描，證實為左側後枕葉腦中風。收治患者的書田診所眼科副院長廖士傑表示，後枕葉管控視覺，右側的影像會在位於腦下垂體上方視神經交叉處左右互換，經由視神經傳導會到達左側後枕葉視覺中樞，該處病變就出現右側偏盲，使得視野缺損。當右或左半側視野缺損，6至8成原因為腦中風，且都是突然發生。長庚醫院失智症中心主任徐文俊說，後枕葉腦中風占所有腦中風的發生率約1成，後大腦動脈流經顳葉及海馬體血流量不足，導致短期記憶變差；一般的退化型失智症是慢慢發生，腦中風導致的則是突然發生。建議做腦部電腦斷層，排除器官病變，才能把握治療黃金期，若一直拖延，可能發生多重中風，造成嚴重失能，甚至死亡。徐文俊說，中風前多會出現如短暫麻痹現象，如突然視力變模糊或喪失、突然說話大舌頭或流口水、半邊的手腳或臉會突然沒力或麻木、手中的物品突然脫落、步態不穩等。他提醒，出現這些症狀應盡快就醫。編輯推薦上了年紀想要好好運動！肌肉訓練不受傷7大定律別再誤會堅果！哈佛研究翻轉堅果類食物讓人肥胖迷思💪更多健康推薦‧77歲婦擁2千萬、住豪宅開進口車 陷入「隱性貧困」瀕臨破產‧大晴天曬衣服易乾卻有副作用？「夏日洗衣術」和泛黃汗臭說掰掰‧旅行總是便秘、腸胃不適好惱人！營養師揭5要訣讓你健康旅遊不掃興腦中風失智症這篇文章對你有幫助嗎?實用不實用上一篇屏東免費月嫂服務再升級，讓小產媽媽和準媽媽迎來「神隊友」下一篇別等出問題才煩惱 專家建議3個訓練動作防尿失禁：愈早練愈好,"聯合報
                                                    ／ 記者陳婕翎／台北報導"
https://health.udn.com/health/story/5965/3569217,天氣冷颼颼，中風好發季節，但不是手麻、腳麻、說話不清楚才要擔心，中風有時幾乎沒有徵兆，苗栗市大千醫院最近收治一名65歲吳姓病患多次中風渾然不知，若長期沒有處理，將會造成失智、失能、痴呆。吳姓男子因記憶力減退、做事變沒耐心、說話不清楚，看電視按遙控器或扣鈕釦不太靈光求醫，他一開始沒病識是中風，大千醫院檢查赫然發現大腦兩旁及腦幹有多處陳舊性腦梗塞，即是多次中風而不自覺，大千醫院神經內科醫師鄭智文診斷是「無症狀中風」。鄭智文說，無症狀中風發病時，沒有視力減退、失去語言能力及手腳癱瘓的症狀，事實上腦部已受損傷，長期下來會造成失智、失能、痴呆，根據研究資料顯示，每5名中風病例，就有潛在的100名病患屬於無症狀腦中風，沒被發現。無症狀的是有症狀的20倍。無症狀中風的病人通常智能退化、步伐緩慢，到醫院電腦斷層檢查發現，但還是可提早發現。男子45歲、女子55歲以上，必須特別注意，尤其是血壓、心臟病、糖尿病、高血脂、高尿酸、頸動脈狹窄、抽菸、肥胖都屬高風險群。鄭智文指出，寒流來襲或天氣溫差變化大，感冒或輕微感染也會造成血液、血管變化，致使血管栓塞或破裂，建議要注意保暖，增添衣物避免著涼，保持水分充足，且多休息不過分勞累，若有高血壓、糖尿病一定要按時服藥控制，降低中風機率。💪更多健康推薦‧77歲婦擁2千萬、住豪宅開進口車 陷入「隱性貧困」瀕臨破產‧大晴天曬衣服易乾卻有副作用？「夏日洗衣術」和泛黃汗臭說掰掰‧旅行總是便秘、腸胃不適好惱人！營養師揭5要訣讓你健康旅遊不掃興腦中風高血壓失智高血脂失能這篇文章對你有幫助嗎?實用不實用上一篇不吵架＝感情好？婚姻專家揭「夫妻對話預兆」就能察覺破裂危機下一篇我最需要的退休力／贏在自在獨立 重拾過往樂趣,"聯合報
                                                    ／ 記者范榮達／苗栗報導"
https://health.udn.com/health/story/5965/3981566,醫師建議：確診後 回鄰近院所追蹤如果退化性失智症的病程無法逆轉，那還要去看醫師嗎？是不是看哪家醫院都一樣？不少失智症家屬心中有這些疑惑。其實，失智症就醫仍有必要，持續就醫才能因穩定用藥而延緩退化，也能透過醫護人員接觸照護資源。失智症診斷不易，雙和醫院副院長胡朝榮表示，失智症分許多種類，懷疑罹病的民眾可先至對失智症治療有經驗及資源的醫療院所檢查與確診，隨後可循各縣市失智共照中心推薦，回鄰近院所追蹤，每年進行心智評估時，再回到確診院所。實際狀況：持續就醫率差 恐加速惡化不過，健保大數據顯示，失智者有往大醫院集中的現象，過去七年，各級醫療院所收治失智症病人占率變動不大，以去年為例，醫學中心32.7%、區域醫院44.8%、地區醫院24%、基層診所11%，且近六成診所病人持續就診未滿一年 。醫學中心與區域醫院失智症就醫人次最多，台北榮總逾四萬人次，林口長庚加上桃園長庚與之相當，部分區域醫院如北市聯醫、新北市雙和醫院、耕莘醫院、高市大同醫院的就醫人次也不少；基層診所收治患者占比最低，且近六成診所患者持續就診未滿一年 。不只診所病人未持續就醫比率高，國內高達四成失智者並未持續就醫。中斷就醫原因多 被迫停藥 或感覺無效101年因失智症就醫有16萬7458人，42%持續就醫未滿一年，18.7%持續就醫1到2年，10.9%持續就醫2到3年，僅28.4%就醫3年以上。101年到106年維持上述比率，到了107年，因失智症就醫21萬3441人，持續就醫未滿一年39.5%，1到2年為18.7%，2到3年為11.4%，持續就醫3年以上達30.4%。台北榮總神經醫學中心主治醫師王培寧表示，即使扣除當年新確診個案、再扣除病程走到重度而不一定需要用藥者，推估仍有三成左右患者未穩定就醫。可能原因包括患者面臨給付限制而停藥、因用藥副作用或用藥無效，或者是罹患其他重大疾病而無法持續就醫。林口長庚醫院神經內科部失智症科主任徐文俊表示，健保數據僅能看見就醫人數，而非確診人數，也不包括未曾就醫的黑數。因此理論上，未持續就醫的失智者比率應該更高。醫療分布不均 精神、神經科集中六都醫療資源地理分布可能也有影響。中華民國醫師公會全聯會統計各縣市執業醫師人數，以去年度為例，精神科與神經科執業醫師集中六都，台北市（617人）、高雄市（418人）、台中市（311人）、新北市（306人）、桃園市（249人）與台南市（220人），醫師數最少的縣市為連江縣（0人）、金門縣（4人）、澎湖縣（7人）。其中，專門診治失智症的醫師人數更少。取得台灣臨床失智症學會培訓學分、由學會公開推薦的失智症醫師，北部74人、中部41人、南部39人，東部與外島僅4人。基層診所的精神科與神經科醫師數不少，但平均照顧病人數較低。對照健保署與醫師公會全聯會去年度統計資料，醫學中心有808名精神科與神經科醫師，除以就醫人數，平均每位醫師照顧87名病人；區域醫院663名醫師，平均每名醫師照顧145名病人；地區醫院醫師最少，僅255人，平均每名醫師照顧病人數202人；基層診所醫師567人，平均每名醫師照顧41.2名病人。上述數據並未考量到大醫院醫師分工更細、失智者往往集中到專看失智症的醫師手上，王培寧指出，以北榮為例，每名專看失智症的醫師平均有500至600名長期追蹤的病人。若有多重疾病 小院所難全面照護林口長庚醫院神經內科部失智症科主任徐文俊表示，失智者面對的問題不只是失智，同時還可能有糖尿病、高血壓等多重疾病，規模較小的院所較難持續提供全方位照護，因此部分患者傾向轉往科別較多的大醫院「一次解決」。雙和醫院副院長胡朝榮認為，這個現象也可能與轉診便利性有關。由於失智者每年須進行一次心智評估才能獲得健保用藥給付，而醫學中心與區域醫院多有臨床心理師，因此可能有失智者乾脆每次都到大醫院看病。優化轉診制度 有必要再跑大醫院徐文俊表示，未來或許能研議推動社區中的精神科、神經科診所與其他科別診所合作，讓同時有其他慢性病等多重疾病患者，在社區就能即時獲得更完善照顧。胡朝榮也說，健保署可思考優化基層診所與各級醫院轉診順暢度，讓民眾可在鄰近基層診所就醫，需心智評估時再轉給確診院所；若病情突然劇烈變化或出現新的精神行為問題且基層診所無法解決，再轉回確診醫院或醫學中心進一步檢查。💪更多健康推薦‧77歲婦擁2千萬、住豪宅開進口車 陷入「隱性貧困」瀕臨破產‧大晴天曬衣服易乾卻有副作用？「夏日洗衣術」和泛黃汗臭說掰掰‧旅行總是便秘、腸胃不適好惱人！營養師揭5要訣讓你健康旅遊不掃興失智症糖尿病高血壓這篇文章對你有幫助嗎?實用不實用上一篇常覺得壓力大？營養師點名「5種食物」會讓皮質醇飆高  咖啡、甜點都中鏢下一篇不要以為開窗通風就沒事！煮飯油煙對呼吸道4大嚴重影響 醫教有效保護措施,"聯合報
                                                    ／ 記者羅真／報導"
https://health.udn.com/health/story/5965/991714,案例故事：67歲的陳吉（化名），不但常常忘記自己有沒有吃飯，也經常沒來由地發脾氣，而且說話的詞彙變少、也越來越不合邏輯。有次出門後無法找到回家的路，讓家人擔心受怕，從此24小時在身旁守候，深怕他再出狀況。經醫師檢查後，確診為阿茲海默症中重度患者。輕度患者 接觸人群多動腦失智症並非正常老化，而是一種疾病。台安醫院神經內科主任林冠宏指出，大約有四、五成失智症患者是阿茲海默症，大多數阿茲海默症患者早期有記憶力不佳的情況；中晚期可能出現猜忌、妄想等行為；晚期容易改變情緒及行為，最常見的是容易走失。林冠宏說，面對輕度阿茲海默症患者，愈早以藥物治療，效果愈明顯，並建議患者多動腦、運動，採地中海飲食，多蔬果、豆類、堅果、魚類等，並且多接觸人群；中度失智症患者則是以藥物治療，如膽鹼酉每抑制劑、Exelon貼片等，幫助延緩失智症病情惡化；若是重度失智症患者，主要透過非藥物治療，透過認知訓練改善患者精神、行為症狀。耐心說明 增病患服藥意願罹患阿茲海默症，經臨床證實，大多運用藥物治療可延緩病情惡化。然而，不少患者卻不肯按時服用藥物，不但病情加重，也成為家人負擔。林冠宏表示，為了增加病人的服藥意願，醫師及家人應清楚告知病人的衛教資訊，以及病情加重後，可能會面臨的事情，如無自理生活的能力，甚至大小便失禁、情緒表達困難等，使患者重視失智症用藥的重要性。簡化藥物 以一次服用為主林冠宏指出，許多失智症患者還有慢性疾病、心血管疾病等，需要按時服藥，但是每天吃很多藥，吃到最後也忘了哪些藥物有無服用。他建議應簡化藥物，失智症藥物分為每日一次及每日二次用藥，為提高這類患者用藥意願，可選用與其他藥物無副作用、能一次服用的為主。除了失智症口服藥物，健保也給付失智症貼片。林冠宏說，只要在患者身體貼上十元硬幣大小的貼片，每日更換一片，就能達到每天服藥的效果。要注意的是，使用失智症貼片後，當天就不能再使用口服藥物，以免劑量過重，造成抽搐、呼吸困難等身體不適情形。圖／聯合報多重手續 健保給付審核嚴有些藥物可能產生副作用，林冠宏說，失智症口服藥物主要會刺激腸胃道，造成腹瀉或便秘、影響食欲、惡心、嘔吐；貼片藥物則可能造成皮膚過敏的問題。其次，失智症藥物可能會因刺激腦部神經，造成頭暈、走路不穩、情緒亢奮。失智症藥物申請健保給付，需經層層程序，林冠宏說，一旦其中一個步驟未通過，便無法接受健保給付，必須自費，一年約三到四萬元。有些失智症患者在審核期間，了解失智症藥物得來不易，特別珍惜，配合醫師指示用藥，屬於高度配合的患者。降低失智症的發生，台灣失智症協會秘書長湯麗玉指出，許多研究指出，糖尿病、高血壓、心血管疾病等，都會增加失智症風險，民眾應減少攝取過鹹、過油、過甜的精緻食物；腦部受傷也是失智症危險因子，應避免頭部受傷；抽菸及憂鬱情緒，會提高失智症發生率，建議立即戒菸、以積極正向的態度面對生活。◎ 隨時掌握第一手健康訊息，快加入【元氣網粉絲團】💪更多健康推薦‧77歲婦擁2千萬、住豪宅開進口車 陷入「隱性貧困」瀕臨破產‧大晴天曬衣服易乾卻有副作用？「夏日洗衣術」和泛黃汗臭說掰掰‧旅行總是便秘、腸胃不適好惱人！營養師揭5要訣讓你健康旅遊不掃興失智阿茲海默症心血管疾病糖尿病地中海飲食這篇文章對你有幫助嗎?實用不實用上一篇有助降低心血管疾病風險 專家推薦5種蔬菜對心臟更加健康下一篇還用塑膠袋裝外食？塑膠微粒傷腎又傷心恐引中風 4招減少接觸,"聯合報
                                                    ／ 記者黃筱雅／報導"
