種類,臉書貼文,元氣網文章(LINK),元氣網文章(FB LINK),
【 #失智二三事】#吞嚥障礙 #吸入性肺炎,https://www.facebook.com/share/p/18Pf2nMNfW/,https://health.udn.com/health/story/6631/4817974?fbclid=IwZXh0bgNhZW0CMTAAAR1aUirZRNsFAedDzrwJJloODe0y8dGK8G__bClIGKBfjDGLGBlgNaTc8f8_aem_lu1vY6b2SYZO7QolRumDVw,https://l.facebook.com/l.php?u=https%3A%2F%2Fhealth.udn.com%2Fhealth%2Fstory%2F6631%2F4817974%3Ffbclid%3DIwZXh0bgNhZW0CMTAAAR1I2_9u7s4OktX44-ujBpP0bPjMOMteAmmQADULMCk6CQIyO2TsaURCiR0_aem_6Qt-1RKSqapml6B21-wsBg&h=AT043D3f0trGRvQmBo-2LXpTckIaFDJIAF22LZ_qXSQbm2HXEng1CK2vir11iYqjceCmkdiIjEF6or5UD5ooEnv34J-gZLpMmYxm5rEtUFlwKc6nxGOqb58udARP_NN2Jp-J&__tn__=-UK*F,
【 #失智二三事】#知能存款 #雌激素 #林志豪,https://www.facebook.com/share/p/175ZLnpeSU/,404,https://l.facebook.com/l.php?u=https%3A%2F%2Fhealth.udn.com%2Fhealth%2Fstory%2F10698%2F3352647%3Ffbclid%3DIwZXh0bgNhZW0CMTAAAR3HfsrHBhEQj7P-49aGELwB9TFU8JWH1xfRSEVkNadaeF--mFVlPC8QOps_aem_6NakPVwi8uQRrfVti9u7ew&h=AT0I_cCPHx4EtbNwBI1R7KUEef8n8FBI3cqfxSlH-qEIaQhjtG44H7Vx9FQEHu6-OZWWkWHCYLqoVxQ2iZC-LqARaTyrCMmwGPkrEkFGdL4VmdGA77B703yUkcXtZCQJwZef&__tn__=-UK*F,
【#照顧解決方案】#失智 #失智照顧 #照顧者,https://www.facebook.com/share/p/15kuW4TTss/,,,
【 #失智懶人包】#社會參與 #超級市場篇,https://www.facebook.com/share/p/14zpgb7gYt/,404,https://l.facebook.com/l.php?u=http%3A%2F%2Fmissing.tw%2F%3Fp%3D1145%26fbclid%3DIwZXh0bgNhZW0CMTAAAR2NIz6qbxPXZN5eAQAUX9ztLC8cZM9H3GGL6rGsnaJtzEsRU-SA3qb58jw_aem_psseLe7x4P2GIlj6ar4TYA&h=AT2myuuPyIJu-PYbeChW8K_plmCVkF0r9Ta4WzxS2HXY65xdTLMOzuhh3cdFXMIt-D1hFGBuzGdn9MD0_M1vfBYjLjSejfbcG2KQ87h3RH376riPoGjxThVJKngiSAV6aAuj&__tn__=-UK-R&c[0]=AT1U-_MHWvtE-WAlrf_gC8V0cydcZ-hYGgMj8OQcHNd4rRKMy1uZOMrfM7YYUb5MFRd37KHXtO0XPcsD5RWBW1V69uhc3LyOJ7dcGP90mWoUt8BS_2lLMsDc0Xs4PLrETk88UO2_3aprx52MNLUpYdOlCkUnedsF6SLMZ-1iYhyH38iI-b4wORjX2QxCF4ayWEBw,
【#照顧解決方案】#失智 #失智照顧 #照顧者,https://www.facebook.com/share/p/1AXjBjhkBK/,,,
【#大腦健康】#節氣養生 #小雪 #失智 #節氣食材,https://www.facebook.com/share/p/19Ymg3r8ZA/,,,
【#失智資源】#失智 #失智友善 #平溪 #不老長智村,https://www.facebook.com/share/p/1AwsUrpvp4/,,,
【#失智資源】#失智友善 #失智友善組織,https://www.facebook.com/share/p/18Mh3jrEoG/,,,
【#照顧喘息】#失智 #照顧 #喘息,https://www.facebook.com/share/p/1AE4rn2W79/,,,
【#新手照顧】#失智 #神經內科 #失智門診,https://www.facebook.com/share/p/14xe33KgHf/,,,
