vip_id,age,sex,grade,city,cluster（動物種類）,created( 可忽略   ),總分,財務,健康,社交,心靈,獨立,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
jlu11212020,3,1,4,3,3,2025/8/30 16:23,36,65,37.5,20,20,10,1,3,"1,2",2,3,2,"1,4,5",3,"1,2",4,1,6,1,3,3,3,5,4,6,4
kaobihlin6web51,5,2,5,2,5,2025/8/30 15:44,74,80,60.25,70,100,100,2,4,"2,5",2,5,2,"2,4",2,"1,2,3",2,"1,2","1,3",2,"1,2,4",2,"1,2,3",1,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
hmcisaman,4,1,5,5,5,2025/8/30 14:22,80,75,73.25,100,100,60,2,4,"3,4",2,5,4,4,3,"1,2,3",2,"1,2","1,3,4,5",1,"1,2,3,4,5",2,"1,2,3","1,2,3,4","1,2,3,4,5","1,3","1,2,4,5"
462b2a62,4,2,3,19,6,2025/8/30 10:58,57,60,57.75,30,100,40,2,2,1,3,5,4,"1,4",2,1,1,3,"2,3,4",1,1,2,1,4,"1,2,3,4,5","1,4","1,5"
8d49e3ba,5,2,5,20,5,2025/8/30 09:17,74,90,52.75,80,100,80,2,4,"1,2",1,5,5,"1,4,5",3,1,3,1,"1,2,3",1,"1,2,5",2,"1,2,3","1,2","1,2,3,4,5","1,2,3,4","1,2,3,5"
tang1963,5,2,4,2,5,2025/8/29 21:28,69,85,50.5,90,80,60,2,3,"1,2",2,5,4,"1,2,4",2,"1,3",5,,"1,2,4,5",2,"1,2,3",2,"1,2,3","1,2,4","1,2,4,5","1,4","1,2,3,4"
data_lillylo,5,2,4,4,1,2025/8/29 15:27,59,85,47.5,40,100,50,1,2,"1,5",2,5,5,"1,3,4",3,"1,2",4,2,"1,2,3,4",2,"3,5",3,"2,3",5,"1,2,3,4,5","1,2,5","2,3"
24131a1a,5,1,5,19,5,2025/8/29 11:26,84,80,75,90,80,100,2,2,"3,4",1,5,4,"1,4",2,"1,2,3,4",2,"1,2,3","1,2,3,5",1,"1,2,4",2,"1,2,3","2,3,4","1,3,4,5","1,2,3,4,5","1,2,3,4,5"
n25919796,7,1,4,2,1,2025/8/29 11:10,68,65,71.25,40,100,80,2,2,2,2,5,3,1,2,"1,2,3",1,"1,2","1,2,3,4",1,"2,4",2,2,"1,2","1,2,3,4,5","1,2,3,4","1,2,3,4"
G_111463421380674748,5,2,3,1,2,2025/8/29 10:13,52,70,60.5,40,40,50,2,2,"1,5",2,3,3,2,3,"1,2",2,2,"1,2,3,4,5",1,2,2,"1,3",5,"1,4","2,4","1,2,4"
G_111463421380674748,5,2,3,1,2,2025/8/29 10:13,52,70,60.5,40,40,50,2,2,"1,5",2,3,3,2,3,"1,2",2,2,"1,2,3,4,5",1,2,2,"1,3",5,"1,4","2,4","1,2,4"
G_111463421380674748,5,2,3,1,2,2025/8/29 10:13,52,70,60.5,40,40,50,2,2,"1,5",2,3,3,2,3,"1,2",2,2,"1,2,3,4,5",1,2,2,"1,3",5,"1,4","2,4","1,2,4"
G_111463421380674748,5,2,3,1,2,2025/8/29 10:13,52,70,60.5,40,40,50,2,2,"1,5",2,3,3,2,3,"1,2",2,2,"1,2,3,4,5",1,2,2,"1,3",5,"1,4","2,4","1,2,4"
8131224a,4,2,5,6,1,2025/8/29 10:03,67,70,50.5,60,100,100,2,4,4,1,5,5,6,3,"1,2",1,"2,3","1,3,4",3,"1,2",2,"1,3","1,2","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
8131224a,4,2,5,6,1,2025/8/29 09:59,51,45,50.5,50,100,70,2,3,4,1,1,4,6,3,"1,2",1,2,"1,3,4",3,"1,2",2,"1,3",2,"1,2,3,4,5","1,2,3,5","2,4,5"
ef513c7c,7,2,5,6,1,2025/8/29 09:39,60,40,85.25,50,80,90,2,3,"1,4",1,6,2,4,1,"1,2,4",1,"1,2,3","1,2,3,4,5",2,"2,3,4",1,"1,3",1,"1,2,3,5","1,3,4,5","1,2,3,4,5"
e4184686,4,1,4,1,1,2025/8/29 09:02,62,60,52.5,40,100,90,1,2,"1,2,3,4",2,3,2,4,3,"1,2",4,"1,2,3","1,3,4,5",1,"1,3",2,3,"1,2","1,2,3,4,5","1,2,3,4,5","1,2,3,4"
